symbol,date,period,eps,src
AKR,2024-09-30,2024Q3,0.056,yahoo_income
AKR,2024-06-30,2024Q2,0.027,yahoo_income
AKR,2024-03-31,2024Q1,0.026,yahoo_income
AKS,2025-06-30,2025Q2,-0.0358,yahoo_income
AKS,2025-03-31,2025Q1,-0.0092,yahoo_income
AKS,2024-09-30,2024Q3,-0.138,yahoo_income
AKS,2024-06-30,2024Q2,-0.0091,yahoo_income
AKS,2024-03-31,2024Q1,-0.0115,yahoo_income
ALLA,2025-06-30,2025Q2,0.022,yahoo_income
ALLA,2025-03-31,2025Q1,0.047,yahoo_income
ALLA,2024-09-30,2024Q3,0.059,yahoo_income
ALLA,2024-06-30,2024Q2,0.047,yahoo_income
ALLA,2024-03-31,2024Q1,0.03,yahoo_income
ALLY,2025-06-30,2025Q2,0.166093,yahoo_income
ALLY,2025-03-31,2025Q1,0.232688,yahoo_income
ALLY,2024-09-30,2024Q3,0.13586,yahoo_income
ALLY,2024-06-30,2024Q2,0.167099,yahoo_income
ALLY,2024-03-31,2024Q1,0.010009,yahoo_income
ALPHAX,2025-06-30,2025Q2,0.0115,yahoo_income
ALPHAX,2025-03-31,2025Q1,0.0025,yahoo_income
ALPHAX,2024-09-30,2024Q3,0.0212,yahoo_income
ALPHAX,2024-06-30,2024Q2,0.0006,yahoo_income
ALPHAX,2024-03-31,2024Q1,0.0084,yahoo_income
ALT,2025-06-30,2025Q2,0.075,yahoo_income
ALT,2025-03-31,2025Q1,0.008,yahoo_income
ALT,2024-09-30,2024Q3,0.004,yahoo_income
ALT,2024-06-30,2024Q2,0.005,yahoo_income
ALT,2024-03-31,2024Q1,0.004,yahoo_income
ALUCON,2025-06-30,2025Q2,8.23,yahoo_income
ALUCON,2025-03-31,2025Q1,6.37,yahoo_income
ALUCON,2024-09-30,2024Q3,1.07,yahoo_income
ALUCON,2024-06-30,2024Q2,5.31,yahoo_income
ALUCON,2024-03-31,2024Q1,6.69,yahoo_income
AMA,2025-06-30,2025Q2,0.12,yahoo_income
AMA,2025-03-31,2025Q1,0.13,yahoo_income
AMA,2024-09-30,2024Q3,0.12,yahoo_income
AMA,2024-06-30,2024Q2,0.24,yahoo_income
AMA,2024-03-31,2024Q1,0.09,yahoo_income
AMANAH,2025-06-30,2025Q2,-0.039,yahoo_income
AMANAH,2025-03-31,2025Q1,0.002,yahoo_income
AMANAH,2024-09-30,2024Q3,0.011,yahoo_income
AMANAH,2024-06-30,2024Q2,-0.048,yahoo_income
AMANAH,2024-03-31,2024Q1,0.01,yahoo_income
AMARC,2025-06-30,2025Q2,0.184,yahoo_income
AMARC,2025-03-31,2025Q1,0.056,yahoo_income
AMARC,2024-09-30,2024Q3,0.038,yahoo_income
AMARC,2024-06-30,2024Q2,0.019,yahoo_income
AMARC,2024-03-31,2024Q1,0.015,yahoo_income
AMARIN,2025-06-30,2025Q2,-0.04,yahoo_income
AMARIN,2025-03-31,2025Q1,-0.04,yahoo_income
AMARIN,2024-09-30,2024Q3,0.004,yahoo_income
AMARIN,2024-06-30,2024Q2,0.01,yahoo_income
AMARIN,2024-03-31,2024Q1,0.03,yahoo_income
AMATA,2025-06-30,2025Q2,0.12,yahoo_income
AMATA,2025-03-31,2025Q1,0.72,yahoo_income
AMATA,2024-09-30,2024Q3,0.67,yahoo_income
AMATA,2024-06-30,2024Q2,0.2,yahoo_income
AMATA,2024-03-31,2024Q1,0.4,yahoo_income
AMATAR,2025-06-30,2025Q2,0.224818,yahoo_income
AMATAR,2025-03-31,2025Q1,0.204462,yahoo_income
AMATAR,2024-09-30,2024Q3,0.200489,yahoo_income
AMATAR,2024-06-30,2024Q2,0.20052,yahoo_income
AMATAR,2024-03-31,2024Q1,0.199656,yahoo_income
AMATAV,2025-06-30,2025Q2,0.07,yahoo_income
AMATAV,2025-03-31,2025Q1,0.005,yahoo_income
AMATAV,2024-09-30,2024Q3,-0.13,yahoo_income
AMATAV,2024-06-30,2024Q2,0.05,yahoo_income
AMATAV,2024-03-31,2024Q1,0.035,yahoo_income
AMC,2025-06-30,2025Q2,0.02,yahoo_income
AMC,2025-03-31,2025Q1,0.06,yahoo_income
AMC,2024-09-30,2024Q3,0.02,yahoo_income
AMC,2024-06-30,2024Q2,0.13,yahoo_income
AMC,2024-03-31,2024Q1,0.15,yahoo_income
AMR,2025-06-30,2025Q2,-0.081,yahoo_income
AMR,2025-03-31,2025Q1,-0.058,yahoo_income
AMR,2024-09-30,2024Q3,-0.012,yahoo_income
AMR,2024-06-30,2024Q2,-0.017,yahoo_income
AMR,2024-03-31,2024Q1,-0.037,yahoo_income
ANAN,2025-06-30,2025Q2,0.044,yahoo_income
ANAN,2025-03-31,2025Q1,-0.078,yahoo_income
ANAN,2024-09-30,2024Q3,-0.012,yahoo_income
ANAN,2024-06-30,2024Q2,0.016,yahoo_income
ANAN,2024-03-31,2024Q1,0.03,yahoo_income
ANI,2025-06-30,2025Q2,0.0736,yahoo_income
ANI,2025-03-31,2025Q1,0.0747,yahoo_income
ANI,2024-09-30,2024Q3,0.0954,yahoo_income
ANI,2024-06-30,2024Q2,0.0922,yahoo_income
ANI,2024-03-31,2024Q1,0.0882,yahoo_income
AOT,2025-06-30,2025Q2,0.27,yahoo_income
AOT,2025-03-31,2025Q1,0.35,yahoo_income
AOT,2024-12-31,2024Q4,0.37,yahoo_income
AOT,2024-06-30,2024Q2,0.32,yahoo_income
AOT,2024-03-31,2024Q1,0.4,yahoo_income
AP,2025-06-30,2025Q2,0.32,yahoo_income
AP,2025-03-31,2025Q1,0.27,yahoo_income
AP,2024-09-30,2024Q3,0.461,yahoo_income
AP,2024-06-30,2024Q2,0.4,yahoo_income
AP,2024-03-31,2024Q1,0.32,yahoo_income
APCO,2025-06-30,2025Q2,0.02,yahoo_income
APCO,2025-03-31,2025Q1,0.02,yahoo_income
APCO,2024-09-30,2024Q3,0.023,yahoo_income
APCO,2024-06-30,2024Q2,0.02,yahoo_income
APCO,2024-03-31,2024Q1,0.03,yahoo_income
APCS,2025-06-30,2025Q2,-0.0834,yahoo_income
APCS,2025-03-31,2025Q1,-0.0843,yahoo_income
APCS,2024-09-30,2024Q3,-0.0397,yahoo_income
APCS,2024-06-30,2024Q2,0.0083,yahoo_income
APCS,2024-03-31,2024Q1,0.0435,yahoo_income
APO,2025-06-30,2025Q2,0.4136,yahoo_income
APO,2025-03-31,2025Q1,-0.0354,yahoo_income
APO,2024-09-30,2024Q3,0.1357,yahoo_income
APO,2024-06-30,2024Q2,0.2486,yahoo_income
APO,2024-03-31,2024Q1,-0.05513,yahoo_income
APP,2025-06-30,2025Q2,0.07,yahoo_income
APP,2025-03-31,2025Q1,0.13,yahoo_income
APP,2024-09-30,2024Q3,0.09,yahoo_income
APP,2024-06-30,2024Q2,0.02,yahoo_income
APP,2024-03-31,2024Q1,0.02,yahoo_income
APURE,2025-06-30,2025Q2,-0.04,yahoo_income
APURE,2025-03-31,2025Q1,0.06,yahoo_income
APURE,2024-09-30,2024Q3,0.05,yahoo_income
APURE,2024-06-30,2024Q2,0.07,yahoo_income
APURE,2024-03-31,2024Q1,0.08,yahoo_income
AQUA,2025-06-30,2025Q2,-0.0585,yahoo_income
AQUA,2025-03-31,2025Q1,-0.0162,yahoo_income
