symbol,period,eps
ASIMAR,2024Q4,0.08
ASIMAR,2024Q3,0.05
ASK,2025Q4,
ASK,2025Q3,
ASK,2025Q2,0.2
ASK,2025Q1,0.28
ASK,2024Q4,0.03
ASK,2024Q3,0.11
ASN,2025Q4,
ASN,2025Q3,
ASN,2025Q2,-0.01
ASN,2025Q1,0.0
ASN,2024Q4,0.0
ASN,2024Q3,0.0
ASP,2025Q4,
ASP,2025Q3,
ASP,2025Q2,0.02
ASP,2025Q1,0.0
ASP,2024Q4,0.03
ASP,2024Q3,0.03
ASW,2025Q4,
ASW,2025Q3,
ASW,2025Q2,0.22
ASW,2025Q1,0.22
ASW,2024Q4,0.18
ASW,2024Q3,0.5
ATP30,2025Q4,
ATP30,2025Q3,
ATP30,2025Q2,0.02
ATP30,2025Q1,0.02
ATP30,2024Q4,0.02
ATP30,2024Q3,0.02
AU,2025Q4,
AU,2025Q3,
AU,2025Q2,0.06
AU,2025Q1,0.08
AU,2024Q4,0.1
AU,2024Q3,0.1
AUCT,2025Q4,
AUCT,2025Q3,
AUCT,2025Q2,0.08
AUCT,2025Q1,0.1
AUCT,2024Q4,0.14
AUCT,2024Q3,0.17
AURA,2025Q4,
AURA,2025Q3,
AURA,2025Q2,0.27
AURA,2025Q1,0.3
AURA,2024Q4,0.23
AURA,2024Q3,0.15
AWC,2025Q4,
AWC,2025Q3,
AWC,2025Q2,0.04
AWC,2025Q1,0.06
AWC,2024Q4,0.06
AWC,2024Q3,0.04
AXTRART,2025Q4,
AXTRART,2025Q3,
AXTRART,2025Q2,
AXTRART,2025Q1,0.238154
AXTRART,2024Q4,0.161333
AXTRART,2024Q3,0.239503
AYUD,2025Q4,
AYUD,2025Q3,
AYUD,2025Q2,2.02
AYUD,2025Q1,1.82
AYUD,2024Q4,0.46
AYUD,2024Q3,0.06
B,2025Q4,
B,2025Q3,
B,2025Q2,0.0
B,2025Q1,0.0
B,2024Q4,0.0
B,2024Q3,0.01
B-WORK,2025Q4,
B-WORK,2025Q3,
B-WORK,2025Q2,0.11961
B-WORK,2025Q1,0.031499
B-WORK,2024Q4,
B-WORK,2024Q3,0.220138
B52,2025Q4,
B52,2025Q3,
B52,2025Q2,-0.02
B52,2025Q1,-0.02
B52,2024Q4,-0.02
B52,2024Q3,-0.05
BA,2025Q4,
BA,2025Q3,
BA,2025Q2,0.19
BA,2025Q1,0.8
BA,2024Q4,0.25
BA,2024Q3,0.32
BAFS,2025Q4,
BAFS,2025Q3,
BAFS,2025Q2,0.07
BAFS,2025Q1,0.2
BAFS,2024Q4,-0.1
BAFS,2024Q3,0.02
BAM,2025Q4,
BAM,2025Q3,
BAM,2025Q2,0.4
BAM,2025Q1,0.07
BAM,2024Q4,0.17
BAM,2024Q3,0.06
BANPU,2025Q4,
BANPU,2025Q3,
BANPU,2025Q2,-0.09
BANPU,2025Q1,-0.05
BANPU,2024Q4,-0.24
BANPU,2024Q3,-0.08
BAREIT,2025Q4,
BAREIT,2025Q3,
BAREIT,2025Q2,0.211613
BAREIT,2025Q1,0.215093
BAREIT,2024Q4,
BAREIT,2024Q3,0.207573
BAY,2025Q4,
BAY,2025Q3,
BAY,2025Q2,1.13
BAY,2025Q1,1.02
BAY,2024Q4,0.86
