symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
AEE,Utilities,111.55000305175781,5.71,-0.3,-1345000000.0,fcfe,,,276751616.0,,,4171000000.0,21291000000.0,129000000.0,eps_dcf,0.08,0.08,15.0,20.226708868394535,26.558717662251368,19.112393136242005,17.237647270995303,-81.8675855535301,
AEHR,Technology,81.05000305175781,-0.24000000000000002,-0.3,-12194000.0,fcfe,,,32480000.0,,,-11604000.0,-26886000.0,,eps_dcf,0.22070500129699708,0.19352425110244753,15.0,,,,,,eps<=0_block|no_intrinsic
AEM,Basic Materials,136.97000122070312,10.64,-0.3,4520483000.0,fcfe,,,500036237.0,,,9744481000.0,-2792650000.0,,eps_dcf,0.08,0.08,15.0,37.690399712735186,49.48944937414265,35.61398650956479,32.12058966083889,-72.48273390024745,
AENT,Communication Services,5.78000020980835,0.36999999999999994,0.16633356495985785,17081000.0,fcfe,,,50957370.0,,,44900000.0,84186000.0,,eps_dcf,0.08,0.08,15.0,10.594925116354695,14.077388871358465,10.496321423493033,7.4082724399359146,83.3031960513717,
AEP,Utilities,132.13999938964844,7.2,0.040604010000000024,-3242000000.0,fcfe,,,544105032.0,,,9402600000.0,51470000000.0,1170000000.0,eps_dcf,0.08,0.08,15.0,123.340947587639,165.602486863928,121.93445580294835,85.29888366542197,-6.658885910891523,
AES,Utilities,14.770000457763672,1.4900000000000002,-0.3,-1479000000.0,fcfe,,,713157713.0,,,3310000000.0,29399000000.0,4936000000.0,eps_dcf,0.09745000129699707,0.08,15.0,5.024767578613934,6.7475415355090185,4.706803541591494,4.25588573278617,-65.97990912063429,
AESI,Energy,14.069999694824219,-0.79,0.3,18635000.0,fcfe,,,124905584.0,,,141448000.0,652777000.0,,eps_dcf,0.09943000129699707,0.08145100090789795,15.0,,,,,,eps<=0_block|no_intrinsic
AFBI,Financial Services,22.739999771118164,1.37,-0.19067754420404093,13804000.0,fcfe,,,6094885.0,,,,-35352000.0,,eps_dcf,0.08,0.08,15.0,8.113208267053515,11.060815976642061,7.9845240482972155,5.551653213733873,-64.3218630223646,
AFL,Financial Services,124.72000122070312,8.81,-0.3,,fcfe,,,508984904.0,,,,2254000000.0,,eps_dcf,0.08,0.08,15.0,31.207934348608735,40.97763618291323,29.4886486042543,26.596089747367536,-74.9776025952858,
AGCO,Industrials,115.33000183105469,10.370000000000001,0.3,545600000.0,fcfe,,,72408527.0,,,1097500000.0,2175200000.0,295500000.0,eps_dcf,0.10432500129699707,0.0881187509727478,15.0,446.89485878405986,605.3817092844224,438.4951291232215,313.60719726621244,287.4922844783354,
AGEN,Healthcare,5.010000228881836,0.9299999999999999,0.3,,fcfe,,,41642431.0,,,127019000.0,6078000.0,-6762000.0,eps_dcf,0.13111000129699707,0.11736850110244751,15.0,35.83546815732815,48.429728210706145,35.171666801281006,25.232612172091606,615.2787728579833,upside>300%
AGIO,Healthcare,39.61000061035156,-5.02,0.0,-394727000.0,fcfe,,,59471609.0,,,-470266000.0,-77855000.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AGM,Financial Services,205.5,17.380000000000003,-0.06475170070703262,,fcfe,,,10848998.0,,,,33764712000.0,,eps_dcf,0.10102500129699707,0.08872000103759767,15.0,174.17274754443483,242.10436111507414,169.97950337567778,118.82086648006666,-15.244405087866264,
AGO,Financial Services,84.95999908447266,8.7,0.3,,fcfe,,,44282464.0,,,,1393000000.0,22000000.0,eps_dcf,0.08656000129699706,0.08,15.0,402.8804442054987,540.6064453125,396.8513520457861,283.24171957763525,374.2001513028846,upside>300%
AHR,Real Estate,57.15999984741211,0.5800000000000001,-0.3,169194000.0,fcfe,,,206722308.0,,,410253000.0,1557294000.0,39680000.0,eps_dcf,0.08848500129699707,0.08,15.0,2.0126250132867947,2.697733142575445,1.8870974390921673,1.7040996065820249,-96.47896252858736,
AHT,Real Estate,3.25,-41.59,0.3,,fcfe,,,6476491.0,,,204629000.0,2270580000.0,34801000.0,eps_dcf,0.13848000129699706,0.10383700084304809,15.0,,,,,,eps<=0_block|no_intrinsic
AI,Technology,8.819999694824219,-3.34,0.2547561488554124,-192136000.0,fcfe,,,155449277.0,,,-474116000.0,-60620000.0,,eps_dcf,0.15850000129699707,0.14065000110244752,15.0,,,,,,eps<=0_block|no_intrinsic
AIG,Financial Services,80.5,5.48,0.08046772953358072,,fcfe,,,530206221.0,,,,7702000000.0,24000000.0,eps_dcf,0.08,0.08,15.0,111.00209193739747,148.54714830594088,109.81377129210591,77.02199750472869,37.890797437760824,
AII,Financial Services,18.65999984741211,4.38,0.3,70596000.0,fcfe,,,19590817.0,,,,-138015000.0,,eps_dcf,0.10064000129699707,0.08841200103759767,15.0,191.73227468223118,259.81251501791365,188.1212685490966,134.48505274595237,927.5041599682643,upside>300%
AIMD,Technology,1.649999976158142,-3.08,-0.3,-4426770.0,fcfe,,,7364542.0,,,-8458702.0,10971518.0,,eps_dcf,0.1802250012969971,0.15911625110244754,15.0,,,,,,eps<=0_block|no_intrinsic
AIN,Consumer Cyclical,74.54000091552734,-2.04,-0.16443758228994754,90800000.0,fcfe,,,28354963.0,,,55221000.0,353984000.0,6014000.0,eps_dcf,0.11037500129699707,0.0926562509727478,15.0,,,,,,eps<=0_block|no_intrinsic
AIRE,Real Estate,1.3899999856948853,-6.0,-0.3,-12297100.0,fcfe,,,5364751.0,,,-17915152.0,-4337097.0,11030.0,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AISP,Technology,2.0,-0.010000000000000009,0.3,,fcfe,,,34439562.0,,,-6685596.0,-11809198.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AIT,Industrials,336.4100036621094,10.59,0.019903696241007518,438930000.0,fcfe,,,36959541.0,,,612357000.0,193724000.0,,eps_dcf,0.09156500129699707,0.08,15.0,160.1806290301402,221.79345005718272,156.50941682936124,109.58144460543451,-52.38529553626894,
AIZ,Financial Services,276.8399963378906,19.55,-0.3,1452000000.0,fcfe,,,49547637.0,,,,615800000.0,,eps_dcf,0.08,0.08,15.0,69.25256714135084,90.9322119609482,65.43735303214208,59.01856464937973,-74.9846235885561,
AJG,Financial Services,253.89999389648438,6.18,-0.013415125926089178,1862000000.0,fcfe,,,256942000.0,,,3887500000.0,11959000000.0,27000000.0,eps_dcf,0.08,0.08,15.0,83.75706531047358,112.94156505668562,82.71892024055316,57.68700077402278,-67.01178915954542,
AKAM,Technology,120.19000244140625,2.9699999999999998,0.1978872067535724,764734000.0,fcfe,,,145385451.0,,,1303585000.0,5245322000.0,,eps_dcf,0.08045500129699706,0.08,15.0,95.97732163210836,127.37199658046653,95.08010871298654,67.27428544111558,-20.145336814600533,
AKO-B,Consumer Defensive,30.100000381469727,1853.1,-0.3,,fcfe,,,157761767.0,,,473405476000.0,835134728000.0,40545828000.0,eps_dcf,0.08,0.08,15.0,6564.293205608041,8619.257390528546,6202.657744443092,5594.235404182381,21708.2827987244,upside>300%
ALB,Basic Materials,120.77999877929688,-3.41,-0.3,575451000.0,fcfe,,,117934651.0,,,567612000.0,792022000.0,257942000.0,eps_dcf,0.11967000129699706,0.0996275009727478,15.0,,,,,,eps<=0_block|no_intrinsic
ALCO,Consumer Defensive,40.93000030517578,-15.93,-0.3,12658000.0,fcfe,,,7416327.0,,,36852000.0,32579000.0,4749000.0,eps_dcf,0.09684500129699708,0.08537600103759767,15.0,,,,,,eps<=0_block|no_intrinsic
ALGM,Technology,46.47999954223633,-0.09,-0.3,124893000.0,fcfe,,,186309064.0,,,74827000.0,137159000.0,1698000.0,eps_dcf,0.14997500129699706,0.1334037511024475,15.0,,,,,,eps<=0_block|no_intrinsic
ALGN,Healthcare,176.75999450683594,5.96,-0.19658373312564992,583648000.0,fcfe,,,71618127.0,,,877456000.0,-943790000.0,,eps_dcf,0.13743500129699707,0.12274475110244751,15.0,28.238126002307062,39.128408718430364,27.533485021683703,19.461766228053847,-84.02459443320757,
ALIT,Technology,21.739999771118164,-117.440294,-0.08748402209019623,259000000.0,fcfe,,,26342351.0,,,-2564000000.0,1936000000.0,2000000.0,eps_dcf,0.13732500129699707,0.1226512511024475,15.0,,,,,,eps<=0_block|no_intrinsic
ALL,Financial Services,249.89999389648438,45.32999999999999,-0.3,11439000000.0,fcfe,,,257420930.0,,,,6794000000.0,-20000000.0,eps_dcf,0.08,0.08,15.0,160.57385516713214,210.8417988843878,151.72763237580563,136.84457982385587,-35.74475426612201,
ALLR,Healthcare,1.190000057220459,-0.76,-0.3,,fcfe,,,15910724.0,,,-10872000.0,1684000.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
ALRM,Technology,53.20000076293945,2.4099999999999997,0.04864456280462237,167719000.0,fcfe,,,49460583.0,,,225323000.0,69280000.0,43978000.0,eps_dcf,0.08821000129699708,0.08090350110244751,15.0,41.690431742998186,57.319280074131456,40.83670895118388,28.622751787307838,-21.634527922712252,
ALSN,Consumer Cyclical,113.5999984741211,6.43,0.3,609000000.0,fcfe,,,82935981.0,,,1009000000.0,3956000000.0,,eps_dcf,0.09767000129699707,0.08312750097274779,15.0,285.0543986166904,386.3724427595879,279.677092833962,199.8682718219781,150.92817116685774,
ALTO,Basic Materials,5.840000152587891,0.37,0.0986937670003789,30711000.0,fcfe,,,77486049.0,,,64217000.0,70962000.0,,eps_dcf,0.08,0.08,15.0,8.07955403639059,10.795977875062757,7.995555472060193,5.615125890709612,38.34852440560779,
ALUR,Healthcare,4.980000019073486,-46.05,-0.3,,fcfe,,,1000417.0,,,-30577000.0,24390000.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AM,Energy,22.59000015258789,0.86,0.29891725550793113,802513000.0,fcfe,,,474980000.0,,,969702000.0,3712528000.0,,eps_dcf,0.08,0.08,15.0,40.500934265881476,53.23633364793939,40.200229058878264,28.667650504833194,79.28700306468004,
AMAL,Financial Services,47.66999816894531,3.37,-0.0792597476196687,148581000.0,fcfe,,,29867347.0,,,,-98649000.0,0.0,eps_dcf,0.08903500129699707,0.08,15.0,33.08648050874372,45.986115078153944,32.30973292427489,22.517088692739982,-30.59265412286516,
AMAT,Technology,529.6599731445312,10.65,-0.27833877514335215,5343000000.0,fcfe,,,793959430.0,,,11147000000.0,967000000.0,,eps_dcf,0.13182500129699706,0.1179762511024475,15.0,35.18648734194877,47.736232246531635,33.598357815654865,27.401131016247597,-93.3567780980219,
AMBQ,Technology,72.43000030517578,-2.171459,0.2664333591941792,-42617000.0,fcfe,,,24145438.0,,,-35497000.0,-202392000.0,,eps_dcf,0.10064000129699707,0.0914690011024475,15.0,,,,,,eps<=0_block|no_intrinsic
AMCX,Communication Services,10.489999771118164,-4.52,0.3,242997000.0,fcfe,,,43927712.0,,,1207397000.0,1289634000.0,32995000.0,eps_dcf,0.11807500129699708,0.10236000103759767,15.0,,,,,,eps<=0_block|no_intrinsic
AMD,Technology,495.760009765625,3.05,-0.3,8574000000.0,fcfe,,,1630600639.0,,,8086000000.0,-1714000000.0,,eps_dcf,0.18143500129699708,0.16014475110244752,15.0,7.918465463031531,10.421788273305822,7.451499563676986,6.816040350820873,-98.40276236343165,
AMG,Financial Services,369.8299865722656,24.720000000000002,-0.3,1055300000.0,fcfe,,,26412085.0,,,1529600000.0,2542500000.0,1158100000.0,eps_dcf,0.10724000129699708,0.09369200103759767,15.0,80.71341205826891,108.12981520620224,75.64707730233283,68.49601317814381,-78.17553606013576,
AMGN,Healthcare,366.2900085449219,14.37,-0.009075380928510235,8597000000.0,fcfe,,,539708274.0,,,16672000000.0,45285000000.0,,eps_dcf,0.08,0.08,15.0,198.5171324893705,267.5984691099527,196.0727379566536,136.76897946693907,-45.80329032779928,
AMIX,Healthcare,4.449999809265137,-89.67,-0.3,,fcfe,,,543000.0,,,-16703000.0,-5872000.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AMOD,Technology,3.880000114440918,-16.8,0.248920283215327,,fcfe,,,4876593.0,,,-7384022.0,6061034.0,,eps_dcf,0.08,0.08,15.0,,,,,,eps<=0_block|no_intrinsic
AMP,Financial Services,527.8699951171875,40.209999999999994,-0.28609343404648413,6941000000.0,fcfe,,,89897084.0,,,,-2655000000.0,,eps_dcf,0.10938500129699708,0.09540800103759767,15.0,138.3096325823969,187.4524374875361,131.1368177540145,110.68527216240486,-73.79854247034972,
AMPL,Technology,9.600000381469727,-0.67,-0.13538467044981217,19526000.0,fcfe,,,132619246.0,,,-85868000.0,-76442000.0,,eps_dcf,0.12522500129699707,0.11236625110244751,15.0,,,,,,eps<=0_block|no_intrinsic
AMRX,Healthcare,17.850000381469727,0.38,-0.3,188096000.0,fcfe,,,319331346.0,,,626016000.0,2498831000.0,-558000.0,eps_dcf,0.11510500129699708,0.10376425110244751,15.0,1.2093862689407737,1.6171094581095127,1.1339676711751396,1.0279188730689366,-93.2247269294389,
AMT,Real Estate,170.05999755859375,6.19,-0.3,3770800000.0,fcfe,,,465893069.0,,,6893500000.0,43522400000.0,6629500000.0,eps_dcf,0.09563500129699708,0.08,15.0,21.001294000564684,28.21414201598456,19.670356466477426,17.781258587406576,-87.65065606135344,
AMTB,Financial Services,26.18000030517578,1.4100000000000001,0.20322333796228342,118154000.0,fcfe,,,39182750.0,,,,760927000.0,,eps_dcf,0.09393000129699708,0.08304400103759767,15.0,44.41016696708752,60.64964317695802,43.51469175190422,30.85711640276692,69.63394365701225,
AMTM,Industrials,20.68000030517578,0.6000000000000001,-0.3,439000000.0,fcfe,,,244090344.0,,,982000000.0,3499000000.0,94000000.0,eps_dcf,0.10064000129699707,0.08535500097274781,15.0,2.002094145386823,2.6864467399919714,1.8757359563928513,1.6968161177635914,-90.31869383055212,
AMTX,Basic Materials,1.5700000524520874,-1.19,-0.3,-38179000.0,fcfe,,,70366477.0,,,-21339000.0,399883000.0,,eps_dcf,0.12489500129699707,0.1035462509727478,15.0,,,,,,eps<=0_block|no_intrinsic
AMWL,Healthcare,13.229999542236328,-5.42,-0.2159284409119897,-47051000.0,fcfe,,,16708483.0,,,-58533000.0,-175245000.0,12790000.0,eps_dcf,0.13903000129699708,0.12410050110244751,15.0,,,,,,eps<=0_block|no_intrinsic
