symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
AMARC,Technology,3.299999952316284,0.39399999999999996,-0.2511994702236252,153005458.21,fcff,exit,8.0,408799200.0,,,198369365.81,-101765756.25,,fcf_dcf,0.08,0.08,,4.747602848223375,5.1122280219247145,4.747602848223375,4.382977674522036,43.86675505528453,
AMARIN,Communication Services,2.380000114440918,-0.10700000000000001,0.0,134096282.0,fcff,exit,8.0,998281590.0,,,417193714.0,-144953000.0,109185000.0,fcf_dcf,0.08,0.08,,3.1156945353000594,3.429721379978154,3.1156945353000594,2.801667690621964,30.911528801836308,pe<0
AMATA,Real Estate,27.0,3.0300000000000002,-0.3,-543277452.0,fcff,exit,8.0,1150000000.0,,,6526334057.0,20477133000.0,7081356000.0,fcf_dcf,0.08,0.08,,8.154581686418332,12.418938542942909,8.15458168641833,3.8902248298937625,-69.79784560585803,
AMATAR,Real Estate,7.25,0.8696240000000001,-0.10849160368043465,,fcff,exit,8.0,357890000.0,,,319882831.0,841845000.0,,fcf_dcf,0.08,0.08,,,,,,,no_intrinsic
AMATAV,Real Estate,1.9900000095367432,0.09200000000000001,0.3,-42354997.0,fcff,exit,8.0,1065898265.0,,,984293700.0,4673872000.0,1237346000.0,fcf_dcf,0.08,0.08,,-0.16255815595449402,0.5313324875905355,-0.16255815595449402,-0.8564487994995236,-108.16875151635483,
AMC,Basic Materials,2.0799999237060547,0.13,-0.12681358024691358,109251476.0,fcff,exit,8.0,480096277.0,,,141850842.0,1281168000.0,,fcf_dcf,0.1,0.08900000000000001,,-0.0256665624417496,0.18732629498118422,-0.025666562441749495,-0.23865941986468373,-101.23396939342277,
AMR,Industrials,0.4099999964237213,-0.289,0.3,-56555088.0,fcff,exit,8.0,590710000.0,,,-138689610.0,267910853.0,1038516.0,fcf_dcf,0.08,0.08,,-2.2712604421635456,-2.447682013252765,-2.2712604421635456,-2.0948388710743258,-653.9659663353444,pe<0
ANAN,Real Estate,0.3199999928474426,-0.04100000000000001,-0.3,2663223607.0,fcff,exit,8.0,4166255157.0,,,1230715603.0,11025141000.0,469013000.0,fcf_dcf,0.1,0.08460000000000001,,1.6480054814713425,1.8653079704180975,1.6480054814713423,1.4307029925245882,415.0017244709801,upside>300%|pe<0
ANI,Industrials,2.759999990463257,0.2888,0.3,694987043.0,fcff,exit,8.0,1848000000.0,,,934871210.0,-363859954.0,80219680.0,fcf_dcf,0.08,0.08,,4.783771987968952,5.163901773038773,4.783771987968952,4.403642202899131,73.32507262675793,
AOT,Industrials,58.0,1.35,-0.045706649056204696,26580585693.0,fcff,exit,8.0,14285700000.0,,,37142889985.0,27074641308.0,2223765859.0,fcf_dcf,0.08,0.08,,21.44150366281025,23.395196335323437,21.44150366281025,19.487810990297056,-63.031890236534046,
