symbol,model,intrinsic_value,last_price,sector,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
AMZN,fcf_dcf,18.338206741260407,224.2100067138672,Consumer Cyclical,267.7143,269.0,306.0,230.0,63,1.27536,1970-01-01,20387,yfinance.info/recommendations
AU,fcf_dcf,59.60475878852194,68.56999969482422,Basic Materials,88.0,83.5,128.0,67.0,6,2.16667,1970-01-01,20387,yfinance.info/recommendations
AVGO,fcf_dcf,72.65916570339748,354.1300048828125,Technology,390.7963,400.0,460.0,273.4,41,1.28261,1970-01-01,20387,yfinance.info/recommendations
BAC,fcf_dcf,,52.56999969482422,Financial Services,57.97917,58.0,67.0,46.0,24,1.64,1970-01-01,20387,yfinance.info/recommendations
BRK-B,fcf_dcf,64.21181901566017,492.1000061035156,Financial Services,519.6667,487.0,593.0,479.0,3,2.0,1970-01-01,20387,yfinance.info/recommendations
BTG,fcf_dcf,,5.210000038146973,Basic Materials,5.79,6.0,7.0,4.45,5,2.15385,1970-01-01,20387,yfinance.info/recommendations
CAT,fcf_dcf,215.67930579183687,522.72998046875,Industrials,498.47913,485.0,650.0,350.0,23,2.15385,1970-01-01,20387,yfinance.info/recommendations
COST,fcf_dcf,270.75773957864305,932.1400146484376,Consumer Defensive,1062.7742,1095.0,1218.0,640.0,31,1.94595,1970-01-01,20387,yfinance.info/recommendations
CRM,fcf_dcf,182.2155243531233,254.8300018310547,Technology,331.8147,335.0,430.0,221.0,51,1.63636,1970-01-01,20387,yfinance.info/recommendations
CSCO,fcf_dcf,53.45017683200405,70.62999725341797,Technology,76.29095,76.0,87.0,61.0,21,2.11538,1970-01-01,20387,yfinance.info/recommendations
CVX,fcf_dcf,134.62139056569615,155.55999755859375,Energy,170.072,171.0,197.0,124.0,25,2.14815,1970-01-01,20387,yfinance.info/recommendations
DHR,fcf_dcf,115.94880819654443,223.00999450683597,Healthcare,254.4,252.5,310.0,220.0,20,1.30435,1970-01-01,20387,yfinance.info/recommendations
FNV,fcf_dcf,-81.5074409893653,190.1000061035156,Basic Materials,229.33444,225.0,260.0,200.0,9,2.0625,1970-01-01,20387,yfinance.info/recommendations
GOOG,fcf_dcf,88.99370562532351,260.510009765625,Communication Services,257.39413,275.0,300.0,185.0,17,1.5,1970-01-01,20387,yfinance.info/recommendations
GOOGL,fcf_dcf,88.79215372085571,259.9200134277344,Communication Services,260.38593,262.5,340.0,185.0,54,1.50746,1970-01-01,20387,yfinance.info/recommendations
HD,fcf_dcf,235.1723283416201,386.6799926757813,Consumer Cyclical,438.84848,450.0,497.0,335.0,33,1.78378,1970-01-01,20387,yfinance.info/recommendations
HON,fcf_dcf,124.51051284561296,216.13999938964844,Industrials,248.06525,245.37,290.0,210.0,21,1.95833,1970-01-01,20387,yfinance.info/recommendations
IBM,fcf_dcf,209.874271067094,307.4599914550781,Technology,285.59332,297.5,350.0,198.0,18,2.55,1970-01-01,20387,yfinance.info/recommendations
INTC,fcf_dcf,-29.283363587369777,38.27999877929688,Technology,35.50543,35.0,50.0,20.0,35,3.13953,1970-01-01,20387,yfinance.info/recommendations
JNJ,fcf_dcf,114.6424382678216,190.3999938964844,Healthcare,198.46826,204.0,225.0,155.0,23,2.16667,1970-01-01,20387,yfinance.info/recommendations
JPM,fcf_dcf,,300.44000244140625,Financial Services,326.9175,332.0,370.0,250.0,24,2.28,1970-01-01,20387,yfinance.info/recommendations
KGC,fcf_dcf,27.399361182839492,23.940000534057617,Basic Materials,26.55,30.0,36.0,8.0,10,1.82353,1970-01-01,20387,yfinance.info/recommendations
KO,fcf_dcf,-2.827335175799788,69.70999908447266,Consumer Defensive,78.83478,80.0,85.0,72.0,23,1.58333,1970-01-01,20387,yfinance.info/recommendations
LIN,fcf_dcf,182.09760982210096,446.0,Basic Materials,513.13635,520.0,576.0,381.0,22,1.72,1970-01-01,20387,yfinance.info/recommendations
LLY,fcf_dcf,-0.943290338892966,825.4500122070312,Healthcare,898.0378,900.0,1190.0,650.0,27,1.75862,1970-01-01,20387,yfinance.info/recommendations
MA,fcf_dcf,287.40419613445647,573.6699829101562,Financial Services,651.4057,656.0,768.0,520.0,35,1.68421,1970-01-01,20387,yfinance.info/recommendations
MCD,fcf_dcf,162.80723530369767,305.7900085449219,Consumer Cyclical,331.13794,335.0,375.0,250.0,29,2.25,1970-01-01,20387,yfinance.info/recommendations
META,fcf_dcf,289.0524731968107,738.3599853515625,Communication Services,867.1763,877.5,1086.0,616.0,62,1.41176,1970-01-01,20387,yfinance.info/recommendations
MRK,fcf_dcf,98.79757181462722,87.48999786376953,Healthcare,101.8412,98.0,137.0,82.0,25,2.0,1970-01-01,20387,yfinance.info/recommendations
MSFT,fcf_dcf,148.93559084280972,523.6099853515625,Technology,621.2663,630.0,710.0,483.0,51,1.25862,1970-01-01,20387,yfinance.info/recommendations
NEM,fcf_dcf,76.52879802438044,83.37000274658203,Basic Materials,102.615,104.75,120.0,62.0,20,1.7619,1970-01-01,20387,yfinance.info/recommendations
NFLX,fcf_dcf,232.383950599979,1094.68994140625,Communication Services,1341.6187,1390.0,1600.0,770.0,44,1.89796,1970-01-01,20387,yfinance.info/recommendations
NKE,fcf_dcf,29.22961020415419,69.11000061035156,Consumer Cyclical,83.27171,84.0,120.0,38.0,35,2.025,1970-01-01,20387,yfinance.info/recommendations
NVDA,fcf_dcf,25.63486420207492,186.25999450683597,Technology,218.51369,214.0,320.0,100.0,57,1.34375,1970-01-01,20387,yfinance.info/recommendations
OR,fcf_dcf,7.582662135426039,33.349998474121094,Basic Materials,41.07574,41.032154,42.09289,40.145763,4,2.41667,1970-01-01,20387,yfinance.info/recommendations
ORCL,fcf_dcf,-23.48191729155769,283.3299865722656,Technology,345.48428,357.5,430.0,175.14314,38,1.7907,1970-01-01,20387,yfinance.info/recommendations
PAAS,fcf_dcf,27.103155398373456,36.34000015258789,Basic Materials,47.625,46.0,62.0,38.0,8,2.0,1970-01-01,20387,yfinance.info/recommendations
PEP,fcf_dcf,87.02522370655629,151.5500030517578,Consumer Defensive,153.57143,155.0,172.0,115.0,21,2.73913,1970-01-01,20387,yfinance.info/recommendations
