symbol,sector,last_price
FM,Consumer Defensive,4.239999771118164
FMT,Industrials,19.700000762939453
FN,Consumer Cyclical,0.44999998807907104
FNS,Financial Services,0.699999988079071
FORTH,Industrials,15.800000190734863
FPI,Consumer Cyclical,1.5
FPT,Real Estate,6.699999809265137
FSMART,Communication Services,7.599999904632568
FSX,Financial Services,1.1699999570846558
FTE,Industrials,2.680000066757202
FTI,Industrials,1.850000023841858
FTREIT,Real Estate,12.300000190734863
FUTURERT,Real Estate,8.899999618530273
FVC,Industrials,0.3199999928474426
GABLE,Technology,4.039999961853027
GAHREIT,Real Estate,3.9800000190734863
GBX,Financial Services,0.5899999737739563
GC,Basic Materials,4.900000095367432
GCAP,Financial Services,0.25
GEL,Basic Materials,0.03999999910593033
GENCO,Industrials,0.33000001311302185
GFC,Healthcare,2.2799999713897705
GFPT,Consumer Defensive,9.199999809265137
GGC,Basic Materials,4.019999980926514
GJS,Basic Materials,0.12999999523162842
GLAND,Real Estate,0.7400000095367432
GLOBAL,Consumer Cyclical,7.400000095367432
GLORY,Industrials,1.0700000524520874
GPI,Communication Services,1.7699999809265137
GPSC,Utilities,49.25
GRAMMY,Communication Services,2.819999933242798
GRAND,Consumer Cyclical,0.019999999552965164
GREEN,Utilities,0.7099999785423279
GROREIT,Real Estate,9.100000381469727
GSTEEL,Unknown,0.09000000357627869
GTB,Industrials,0.6899999976158142
GTV,Utilities,0.019999999552965164
GULF,Utilities,63.5
GUNKUL,Utilities,4.800000190734863
GVREIT,Real Estate,7.699999809265137
GYT,Consumer Cyclical,183.0
HANA,Technology,37.5
HANN,Healthcare,0.8799999952316284
HARN,Industrials,2.0799999237060547
HENG,Financial Services,0.9300000071525574
HFT,Consumer Cyclical,4.0
HL,Healthcare,5.75
HMPRO,Consumer Cyclical,6.550000190734863
HPT,Consumer Cyclical,0.14000000059604645
HTC,Consumer Defensive,15.800000190734863
HTECH,Industrials,3.799999952316284
HUMAN,Technology,4.900000095367432
HYDRO,Industrials,0.07000000029802322
HYDROGEN,Real Estate,8.25
I2,Technology,0.8299999833106995
ICC,Consumer Cyclical,24.0
ICHI,Consumer Defensive,14.399999618530273
ICN,Communication Services,2.119999885559082
IDG,Technology,1.2899999618530273
IFS,Financial Services,1.9199999570846558
IHL,Consumer Cyclical,1.409999966621399
IIG,Technology,1.3700000047683716
III,Industrials,4.320000171661377
ILINK,Technology,5.199999809265137
ILM,Consumer Cyclical,13.0
IMH,Healthcare,3.0799999237060547
IMPACT,Real Estate,11.699999809265137
IND,Industrials,0.9599999785423279
INET,Technology,4.28000020980835
INETREIT,Real Estate,13.0
INGRS,Consumer Cyclical,0.10000000149011612
INOX,Basic Materials,4.119999885559082
INSET,Technology,4.579999923706055
INSURE,Financial Services,51.5
IP,Healthcare,4.820000171661377
IRC,Consumer Cyclical,11.899999618530273
IRCP,Technology,0.27000001072883606
IROYAL,Industrials,4.599999904632568
IRPC,Energy,1.8600000143051147
ISSARA,Unknown,6.550000190734863
IT,Technology,6.400000095367432
ITC,Consumer Defensive,16.100000381469727
ITD,Industrials,0.41999998688697815
ITEL,Communication Services,1.7799999713897705
ITNS,Technology,1.7999999523162842
ITTHI,Consumer Cyclical,1.3300000429153442
IVF,Healthcare,0.7400000095367432
IVL,Basic Materials,22.899999618530273
J,Real Estate,0.7799999713897705
JAK,Real Estate,1.340000033378601
JAS,Communication Services,1.1299999952316284
JCK,Real Estate,0.11999999731779099
JCT,Consumer Defensive,82.75
JDF,Consumer Defensive,1.9800000190734863
JMART,Consumer Cyclical,12.300000190734863
JMT,Financial Services,12.600000381469727
JPARK,Industrials,3.4000000953674316
JR,Industrials,1.7599999904632568
JSP,Consumer Defensive,1.7699999809265137
JTS,Communication Services,30.25
JUBILE,Consumer Cyclical,7.300000190734863
K,Industrials,0.9599999785423279
KAMART,Consumer Defensive,7.699999809265137
KASET,Consumer Defensive,0.6800000071525574
