symbol,model,intrinsic_value,last_price,sector,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
AUCT,eps_dcf,23.638827151982262,5.699999809265137,Consumer Cyclical,6.0,6.0,6.0,6.0,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
AURA,eps_dcf,4.470831111352322,15.199999809265137,Consumer Cyclical,20.73333,21.0,21.4,19.8,3.0,1.0,1970-01-01,20387.0,yfinance.info/recommendations
AWC,eps_dcf,2.584811865112008,2.180000066757202,Consumer Cyclical,2.99364,2.7,5.0,1.9,11.0,2.09091,1970-01-01,20387.0,yfinance.info/recommendations
AXTRART,eps_dcf,22.25142617993564,12.0,Unknown,14.175,14.175,14.65,13.7,2.0,,1970-01-01,20387.0,yfinance.info/recommendations
AYUD,eps_dcf,28.18815856817374,34.0,Financial Services,,,,,,,,,yfinance.info/recommendations
B,eps_dcf,0.071880196471413,0.0399999991059303,Industrials,,,,,,,,,yfinance.info/recommendations
B-WORK,eps_dcf,,4.480000019073486,Unknown,,,,,,,,,yfinance.info/recommendations
B52,eps_dcf,,0.3000000119209289,Real Estate,,,,,,,,,yfinance.info/recommendations
BA,eps_dcf,78.00812960154147,12.899999618530272,Industrials,20.12222,20.0,28.0,14.1,9.0,1.22222,1970-01-01,20387.0,yfinance.info/recommendations
BAFS,eps_dcf,1.3324677791981112,10.100000381469728,Industrials,,,,,,,,,yfinance.info/recommendations
BAM,eps_dcf,2.3733616360462944,6.800000190734863,Financial Services,8.24286,8.0,10.0,6.4,7.0,2.75,1970-01-01,20387.0,yfinance.info/recommendations
BANPU,eps_dcf,,4.440000057220459,Energy,5.1,4.9,6.5,4.0,6.0,2.5,1970-01-01,20387.0,yfinance.info/recommendations
BAREIT,eps_dcf,8.574891322754125,9.899999618530272,Real Estate,,,,,,,,,yfinance.info/recommendations
BAY,eps_dcf,52.61128467714602,24.600000381469727,Financial Services,25.85,25.85,28.0,23.7,2.0,2.0,1970-01-01,20387.0,yfinance.info/recommendations
BBGI,eps_dcf,3.7774015904616913,2.940000057220459,Utilities,4.3,4.3,4.3,4.3,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
BBIK,eps_dcf,6.970952648751351,20.600000381469727,Industrials,31.475,30.55,36.6,28.2,4.0,1.0,1970-01-01,20387.0,yfinance.info/recommendations
BBL,eps_dcf,221.9014111035465,162.5,Financial Services,162.3158,165.0,189.0,125.0,19.0,2.65,1970-01-01,20387.0,yfinance.info/recommendations
BC,eps_dcf,6.505405232225519,0.7799999713897705,Real Estate,,,,,,,,,yfinance.info/recommendations
BCH,eps_dcf,3.168391951612469,11.399999618530272,Healthcare,16.84667,16.5,20.0,13.8,15.0,1.4,1970-01-01,20387.0,yfinance.info/recommendations
BCP,eps_dcf,,30.25,Energy,40.73846,41.0,48.0,32.0,13.0,1.69231,1970-01-01,20387.0,yfinance.info/recommendations
BCPG,eps_dcf,11.346637032951488,8.600000381469727,Utilities,9.75714,10.0,12.0,7.8,7.0,1.0,1970-01-01,20387.0,yfinance.info/recommendations
BCT,eps_dcf,291.70312705546115,50.75,Basic Materials,,,,,,,,,yfinance.info/recommendations
BDMS,eps_dcf,16.08027367324059,19.700000762939453,Healthcare,28.97391,29.5,37.0,20.0,23.0,1.6087,1970-01-01,20387.0,yfinance.info/recommendations
BE8,eps_dcf,18.91106172158581,5.599999904632568,Technology,6.05,5.95,7.0,5.3,4.0,4.75,1970-01-01,20387.0,yfinance.info/recommendations
BEAUTY,eps_dcf,,0.5299999713897705,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
BEC,eps_dcf,4.293384349706775,1.9700000286102293,Communication Services,3.105,2.96,4.0,2.5,4.0,2.4,1970-01-01,20387.0,yfinance.info/recommendations
BEM,eps_dcf,2.9799777347250584,5.099999904632568,Industrials,8.47917,8.325,10.4,7.3,12.0,1.0,1970-01-01,20387.0,yfinance.info/recommendations
BEYOND,eps_dcf,,6.900000095367432,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
BGC,eps_dcf,18.438285178546167,4.599999904632568,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
BGRIM,eps_dcf,4.76715518617641,16.200000762939453,Utilities,16.73333,15.4,28.0,11.0,15.0,1.64286,1970-01-01,20387.0,yfinance.info/recommendations
BGT,eps_dcf,,0.4300000071525574,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
BH,eps_dcf,189.8282683761252,179.0,Healthcare,210.28587,214.0,300.0,152.0,21.0,1.80952,1970-01-01,20387.0,yfinance.info/recommendations
BIG,eps_dcf,1.2528578390550598,0.3600000143051147,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
BIOTEC,eps_dcf,,0.2000000029802322,Basic Materials,,,,,,,,,yfinance.info/recommendations
BIS,eps_dcf,0.7909085618367991,2.4800000190734863,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
BIZ,eps_dcf,3.249246630452652,3.839999914169312,Healthcare,,,,,,,,,yfinance.info/recommendations
BJC,eps_dcf,3.550123927829248,19.299999237060547,Industrials,22.02,22.0,30.0,17.0,15.0,2.0,1970-01-01,20387.0,yfinance.info/recommendations
BJCHI,eps_dcf,,0.8199999928474426,Industrials,,,,,,,,,yfinance.info/recommendations
BKA,eps_dcf,,1.0499999523162842,Unknown,,,,,,,,,yfinance.info/recommendations
BKD,eps_dcf,1.8780046973881168,1.0700000524520874,Unknown,,,,,,,1970-01-01,20387.0,yfinance.info/recommendations
