symbol,sector,last_price,intrinsic_value,margin_%,dividend_ttm,dividend_yield_%,total_return_with_div_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
A,Healthcare,146.82000732421875,43.32633261589317,-70.490171329159,0.992,0.6756572336966259,-58.969803992495216,152.33333,151.0,170.0,130.0,15.0,2.0,1970-01-01,yfinance.info/recommendations
AA,Basic Materials,37.59000015258789,43.0683714651108,14.57401247748,0.4,1.0641127916368522,15.638125269116852,39.95833,41.5,45.0,28.0,12.0,1.92308,1970-01-01,yfinance.info/recommendations
AAMI,Financial Services,43.900001525878906,97.99780800618396,123.22962323455633,0.04,0.0911161699537074,123.32073940451004,49.0,49.0,52.0,46.0,3.0,3.0,1970-01-01,yfinance.info/recommendations
AAPL,Technology,272.4100036621094,78.34911421866212,-71.23853266569299,1.03,0.3781065255142342,-85.37651875098423,281.06512,277.0,345.0,215.0,41.0,2.0,1970-01-01,yfinance.info/recommendations
AARD,Healthcare,9.920000076293944,-14.624415501453216,-247.42354222760065,,,,31.42857,29.0,50.0,19.0,7.0,1.28571,1970-01-01,yfinance.info/recommendations
AAT,Real Estate,19.32999992370605,45.03511084222561,132.98039844788184,1.3550000000000002,7.009829308577732,139.99022775645952,20.5,20.5,21.0,20.0,2.0,,1970-01-01,yfinance.info/recommendations
ABAT,Industrials,3.5999999046325684,-2.516079326864188,-169.89109426437582,,,,6.0,6.0,6.0,6.0,1.0,,,yfinance.info/recommendations
ABBV,Healthcare,232.3600006103516,54.84966116567337,-76.39453390359914,6.56,2.8232053635602177,-73.57132854003893,243.55345,245.0,289.0,184.0,29.0,1.93333,1970-01-01,yfinance.info/recommendations
ABCB,Financial Services,72.88999938964844,46.88106011749981,-35.68245231161618,0.8,1.0975442539427611,-34.58490805767342,81.6,82.0,85.0,77.0,5.0,2.0,1970-01-01,yfinance.info/recommendations
ABM,Industrials,42.06999969482422,14.859616925915846,-64.67882806344781,1.06,2.519610191797576,-62.15921787165024,58.0,55.0,68.0,54.0,5.0,,1970-01-01,yfinance.info/recommendations
ABNB,Consumer Cyclical,122.0199966430664,,,,,,139.25429,140.0,180.0,102.0,35.0,2.57778,1970-01-01,yfinance.info/recommendations
