symbol,date,period,eps,src
D,2025-09-30,2025Q3,1.16,yahoo_income
D,2025-06-30,2025Q2,0.88,yahoo_income
D,2025-03-31,2025Q1,0.75,yahoo_income
D,2024-12-31,2024Q4,0.15,yahoo_income
D,2024-09-30,2024Q3,1.12,yahoo_income
DE,2025-07-31,2025Q3,4.75,yahoo_income
DE,2025-04-30,2025Q2,6.64,yahoo_income
DE,2025-01-31,2025Q1,3.19,yahoo_income
DE,2024-10-31,2024Q4,4.55,yahoo_income
DE,2024-07-31,2024Q3,6.29,yahoo_income
DHR,2025-09-30,2025Q3,1.27,yahoo_income
DHR,2025-06-30,2025Q2,0.77,yahoo_income
DHR,2025-03-31,2025Q1,1.32,yahoo_income
DHR,2024-12-31,2024Q4,1.49,yahoo_income
DHR,2024-09-30,2024Q3,1.12,yahoo_income
DUK,2025-09-30,2025Q3,1.81,yahoo_income
DUK,2025-06-30,2025Q2,1.25,yahoo_income
DUK,2025-03-31,2025Q1,1.76,yahoo_income
DUK,2024-12-31,2024Q4,1.54,yahoo_income
DUK,2024-09-30,2024Q3,1.6,yahoo_income
ECL,2025-09-30,2025Q3,2.05,yahoo_income
ECL,2025-06-30,2025Q2,1.84,yahoo_income
ECL,2025-03-31,2025Q1,1.41,yahoo_income
ECL,2024-12-31,2024Q4,1.66,yahoo_income
ECL,2024-09-30,2024Q3,2.58,yahoo_income
ELV,2025-09-30,2025Q3,5.32,yahoo_income
ELV,2025-06-30,2025Q2,7.72,yahoo_income
ELV,2025-03-31,2025Q1,9.61,yahoo_income
ELV,2024-12-31,2024Q4,1.81,yahoo_income
ELV,2024-09-30,2024Q3,4.36,yahoo_income
EOG,2025-09-30,2025Q3,2.7,yahoo_income
EOG,2025-06-30,2025Q2,2.46,yahoo_income
EOG,2025-03-31,2025Q1,2.65,yahoo_income
EOG,2024-12-31,2024Q4,2.23,yahoo_income
EOG,2024-09-30,2024Q3,2.95,yahoo_income
ETN,2025-09-30,2025Q3,2.59,yahoo_income
ETN,2025-06-30,2025Q2,2.51,yahoo_income
ETN,2025-03-31,2025Q1,2.45,yahoo_income
ETN,2024-12-31,2024Q4,2.45,yahoo_income
ETN,2024-09-30,2024Q3,2.53,yahoo_income
FDX,2025-08-31,2025Q3,3.46,yahoo_income
FDX,2025-05-31,2025Q2,6.88,yahoo_income
FDX,2025-02-28,2025Q1,3.756198,yahoo_income
FDX,2024-11-30,2024Q4,3.03,yahoo_income
FDX,2024-08-31,2024Q3,3.21,yahoo_income
FI,2025-09-30,2025Q3,1.46,yahoo_income
FI,2025-06-30,2025Q2,1.86,yahoo_income
FI,2025-03-31,2025Q1,1.51,yahoo_income
FI,2024-12-31,2024Q4,1.64,yahoo_income
FI,2024-09-30,2024Q3,0.98,yahoo_income
FNV,2025-09-30,2025Q3,1.49,yahoo_income
FNV,2025-06-30,2025Q2,1.28,yahoo_income
FNV,2025-03-31,2025Q1,1.09,yahoo_income
FNV,2024-12-31,2024Q4,0.91,yahoo_income
FNV,2024-09-30,2024Q3,0.79,yahoo_income
GE,2025-09-30,2025Q3,2.02,yahoo_income
GE,2025-06-30,2025Q2,1.89,yahoo_income
GE,2025-03-31,2025Q1,1.83,yahoo_income
GE,2024-12-31,2024Q4,1.75,yahoo_income
GE,2024-09-30,2024Q3,1.7,yahoo_income
GILD,2025-09-30,2025Q3,2.43,yahoo_income
GILD,2025-06-30,2025Q2,1.56,yahoo_income
GILD,2025-03-31,2025Q1,1.04,yahoo_income
GILD,2024-12-31,2024Q4,1.42,yahoo_income
GILD,2024-09-30,2024Q3,1.0,yahoo_income
GM,2025-09-30,2025Q3,1.35,yahoo_income
GM,2025-06-30,2025Q2,1.91,yahoo_income
GM,2025-03-31,2025Q1,3.35,yahoo_income
GM,2024-09-30,2024Q3,2.68,yahoo_income
GM,2024-06-30,2024Q2,2.55,yahoo_income
GOOGL,2025-09-30,2025Q3,2.87,yahoo_income
GOOGL,2025-06-30,2025Q2,2.31,yahoo_income
GOOGL,2025-03-31,2025Q1,2.81,yahoo_income
GOOGL,2024-12-31,2024Q4,2.15,yahoo_income
GOOGL,2024-09-30,2024Q3,2.12,yahoo_income
GS,2025-09-30,2025Q3,12.25,yahoo_income
GS,2025-06-30,2025Q2,10.91,yahoo_income
GS,2025-03-31,2025Q1,14.12,yahoo_income
GS,2024-12-31,2024Q4,11.95,yahoo_income
GS,2024-09-30,2024Q3,8.4,yahoo_income
HCA,2025-09-30,2025Q3,6.96,yahoo_income
HCA,2025-06-30,2025Q2,6.83,yahoo_income
HCA,2025-03-31,2025Q1,6.45,yahoo_income
HCA,2024-12-31,2024Q4,5.63,yahoo_income
HCA,2024-09-30,2024Q3,4.88,yahoo_income
HD,2025-07-31,2025Q3,4.58,yahoo_income
HD,2025-04-30,2025Q2,3.45,yahoo_income
HD,2025-01-31,2025Q1,3.02,yahoo_income
HD,2024-10-31,2024Q4,3.67,yahoo_income
HD,2024-07-31,2024Q3,4.6,yahoo_income
HON,2025-09-30,2025Q3,2.86,yahoo_income
HON,2025-06-30,2025Q2,2.45,yahoo_income
HON,2025-03-31,2025Q1,2.22,yahoo_income
HON,2024-12-31,2024Q4,1.96,yahoo_income
HON,2024-09-30,2024Q3,2.16,yahoo_income
IBM,2025-09-30,2025Q3,1.84,yahoo_income
IBM,2025-06-30,2025Q2,2.31,yahoo_income
IBM,2025-03-31,2025Q1,1.12,yahoo_income
IBM,2024-12-31,2024Q4,3.09,yahoo_income
IBM,2024-09-30,2024Q3,-0.36,yahoo_income
INTU,2025-07-31,2025Q3,1.35,yahoo_income
INTU,2025-04-30,2025Q2,10.02,yahoo_income
INTU,2025-01-31,2025Q1,1.67,yahoo_income
INTU,2024-10-31,2024Q4,0.7,yahoo_income
INTU,2024-07-31,2024Q3,-0.07,yahoo_income
ITW,2025-09-30,2025Q3,2.81,yahoo_income
ITW,2025-06-30,2025Q2,2.58,yahoo_income
ITW,2025-03-31,2025Q1,2.38,yahoo_income
ITW,2024-12-31,2024Q4,2.54,yahoo_income
ITW,2024-09-30,2024Q3,3.91,yahoo_income
JNJ,2025-09-30,2025Q3,2.12,yahoo_income
JNJ,2025-06-30,2025Q2,2.29,yahoo_income
JNJ,2025-03-31,2025Q1,4.54,yahoo_income
JNJ,2024-12-31,2024Q4,1.41,yahoo_income
JNJ,2024-09-30,2024Q3,1.11,yahoo_income
JPM,2025-09-30,2025Q3,5.07,yahoo_income
JPM,2025-06-30,2025Q2,5.24,yahoo_income
