symbol,sector,last_price,intrinsic_value,margin_%,dividend_ttm,dividend_yield_%,total_return_with_div_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
TFMAMA,Consumer Defensive,194.0,190.217794160382,-1.949590638978351,5.0600000000000005,2.6082474226804124,0.6586567837020614,,,,,,,,yfinance.info/recommendations
TGE,Utilities,1.3899999856948853,1.1591274506688316,-16.609535064896885,0.00318,0.2287769807717129,98.44109189412822,,,,,,,,yfinance.info/recommendations
TGH,Financial Services,11.600000381469728,16.19519182810831,39.61371806486413,0.6,5.172413623006964,44.78613168787112,,,,,,,,yfinance.info/recommendations
TGPRO,Basic Materials,0.0599999986588954,-0.1101145874397262,-283.5243165016321,,,,,,,,,,,yfinance.info/recommendations
TH,Financial Services,0.5,0.8467055011337137,69.34110022674274,0.013274,2.6548,-29.74863709652224,,,,,,,,yfinance.info/recommendations
THAI,Industrials,8.649999618530273,9.491043446393588,9.723050461893743,2.45,28.323700671055995,3557.498711336124,10.97692,11.3,15.0,7.2,13.0,3.30769,1970-01-01,yfinance.info/recommendations
THANA,Real Estate,0.9200000166893004,3.5843202846724047,289.6000238750963,0.016,1.739130403233837,188.0035079183637,,,,,,,,yfinance.info/recommendations
THANI,Financial Services,1.7300000190734863,3.277233655050437,89.43546930164673,0.07,4.046242729956095,-67.28749677628564,1.9875,2.05,2.3,1.55,4.0,1.5,1970-01-01,yfinance.info/recommendations
THCOM,Technology,9.0,0.8360403069013671,-90.71066325665149,1.13,12.555555555555554,-78.15510770109593,11.745,12.5,13.5,9.925,5.0,1.16667,1970-01-01,yfinance.info/recommendations
THE,Basic Materials,0.6899999976158142,0.6244727617292678,-9.496700885937015,0.43,62.31884079504304,52.82213990910602,,,,,,,,yfinance.info/recommendations
THG,Healthcare,7.650000095367432,-0.8376888145282614,-110.95018044556019,1.639845,21.43588208571438,-89.51429835984581,6.75,6.75,7.7,5.8,2.0,5.0,1970-01-01,yfinance.info/recommendations
THIP,Consumer Cyclical,22.200000762939453,41.055858375209226,84.93629263178958,1.65,7.432432177004696,92.36872480879428,,,,,,,,yfinance.info/recommendations
THMUI,Industrials,0.2599999904632568,-0.4785762147759306,-284.06778166538544,0.09,34.6153858850694,-249.45239578031604,,,,,,,,yfinance.info/recommendations
THRE,Financial Services,0.4000000059604645,,,0.19,47.49999929219486,372.9988816874482,,,,,,,,yfinance.info/recommendations
THREL,Financial Services,1.0700000524520874,,,0.332419,31.0671947387484,,,,,,,,,yfinance.info/recommendations
TIDLOR,Financial Services,20.700000762939453,,,,,,23.23571,23.5,28.8,19.0,14.0,1.53333,1970-01-01,yfinance.info/recommendations
TIF1,Financial Services,7.050000190734863,,,0.265,3.7588651465323935,-69.66054041124218,,,,,,,,yfinance.info/recommendations
TIGER,Industrials,0.3499999940395355,-0.0068560426932474,-101.95886937428718,0.425,121.4285734964877,19.469704122200497,,,,,,,,yfinance.info/recommendations
TIPCO,Consumer Defensive,7.949999809265137,4.967255127241762,-37.51880193188441,0.18,2.2641509977172998,-35.25465093416711,,,,,,,,yfinance.info/recommendations
TIPH,Financial Services,21.799999237060547,,,1.5,6.880734185760715,251.70400470913864,,,,,,,,yfinance.info/recommendations
TISCO,Financial Services,106.5,,,7.75,7.276995305164319,35.64792399061033,101.26667,102.0,111.0,93.0,15.0,2.9375,,yfinance.info/recommendations
TITLE,Real Estate,4.900000095367432,-2.635053436362929,-153.77659969546056,0.05,1.020408143405367,-152.75619155205518,,,,,,,,yfinance.info/recommendations
TK,Financial Services,4.340000152587891,13.428634722537636,209.4155357236635,0.2,4.608294768854844,-80.3735290952743,,,,,,,,yfinance.info/recommendations
TKC,Industrials,9.5,1.2528838933281234,-86.81174849128291,0.2,2.1052631578947367,160.8882130322269,,,,,,,,yfinance.info/recommendations
TKN,Consumer Defensive,4.619999885559082,3.850515652379821,-16.655503295237487,0.3269999999999999,7.077922253247601,306.11313227624714,8.56667,6.2,13.5,6.0,3.0,3.66667,1970-01-01,yfinance.info/recommendations
TKS,Industrials,5.5,4.9945978472087535,-9.189130050749936,0.43,7.818181818181818,-90.24963774541686,6.75,6.75,6.75,6.75,1.0,,1970-01-01,yfinance.info/recommendations
TKT,Consumer Cyclical,0.6700000166893005,1.141408412169999,70.35946025943234,0.4825,72.01492357928552,142.37438383871785,,,,,,,,yfinance.info/recommendations
TL,Healthcare,0.4000000059604645,,,,,,,,,,,,,yfinance.info/recommendations
TLHPF,Unknown,3.759999990463257,7.226354832140956,92.19028857632048,0.21,5.585106397144608,97.7753949734651,,,,,,,,yfinance.info/recommendations
TLI,Financial Services,10.100000381469728,,,0.5,4.950494862528325,382.4079757406281,15.68,15.0,19.0,14.2,5.0,1.2,1970-01-01,yfinance.info/recommendations
TM,Healthcare,0.9900000095367432,0.3643956570100606,-63.19235823234239,0.268,27.070706809932958,-36.12165142240944,,,,,,,,yfinance.info/recommendations
