symbol,period_1,period_2,period_3,period_4,period_5,period_6,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6
BAY,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.17,1.19,1.13,1.02,1.04,
BBGI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.06,-0.03,0.09,-0.01,
BBIK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.4,0.34,0.37,0.36,0.44,
BBL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,5.76,7.22,6.2,6.61,6.54,
BC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.02,-0.08,-0.1,0.08,0.1,
BCH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.11,0.14,0.16,0.13,0.18,
BCP,2025Q3,2025Q2,2025Q1,2024Q3,,,0.8,-1.86,1.54,-1.61,,
BCPG,2026Q1,2025Q2,2025Q1,2024Q3,,,0.24,-0.22,0.05,-0.01,,
BCT,2025Q4,2025Q3,2025Q2,2024Q4,2024Q3,,0.77,1.9,0.53,5.2,-3.5,
BDMS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.26,0.27,0.22,0.27,0.27,
BE8,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.26,0.05,0.02,0.08,0.17,
BEAUTY,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,-0.0,-0.01,-0.0,-0.0,
BEC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.01,0.02,0.02,
BEM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.07,0.07,0.06,0.07,
BEYOND,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.39,-0.28,-0.3,0.19,-0.23,
BGC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.08,0.04,0.08,0.12,0.08,
BGRIM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.19,0.05,-0.08,0.16,0.02,
BGT,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.03,-0.02,-0.01,-0.01,,
BH,2025Q3,2025Q2,2025Q1,2024Q3,,,2.35,2.14,2.0,2.25,,
BIG,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.0,0.0,0.01,0.0,,
BIOTEC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.04,-0.01,-0.01,-0.04,
BIS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.03,0.06,0.06,0.06,
BIZ,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.17,0.33,0.08,0.02,0.14,
BJC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.26,0.16,0.25,0.27,0.17,
BJCHI,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.04,-0.02,-0.09,,
BKA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.11,-0.06,-0.03,0.02,0.1,
BKD,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.04,0.01,0.04,0.03,
BKGI,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.01,0.01,0.02,,
BKIH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,10.85,10.78,9.19,5.37,11.0,
BLA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.94,1.35,1.25,0.73,0.88,
BLAND,2025Q4,2025Q3,2025Q2,2024Q4,2024Q3,,0.0,-0.0,0.0,-0.0,0.0,
BLC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.07,0.07,0.09,0.07,
BLESS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,0.01,0.0,0.01,0.01,
BLISS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,-0.0,-0.0,-0.0,-0.0,
BM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.01,0.03,0.07,0.04,
BOFFICE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.15,0.12,0.08,0.18,0.17,
BOL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,0.11,0.1,0.08,0.1,
BPP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.93,0.38,0.42,0.19,0.37,
BPS,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.0,0.0,0.01,0.0,
BR,2025Q3,2025Q2,2025Q1,2024Q3,,,0.05,0.03,0.04,0.03,,
