symbol,sector,model,intrinsic_value,last_price,w
GVREIT,Real Estate,eps_dcf,7.486959133624975,6.5,0.5901935294473374
GYT,Consumer Cyclical,eps_dcf,142.82677785878593,182.5,0.3937274233907813
HANA,Technology,eps_dcf,63.21105054683287,23.799999237060547,0.5392162741363631
HANN,Healthcare,eps_dcf,0.1341431926705797,1.059999942779541,0.5150931379484303
HARN,Industrials,eps_dcf,0.9299410491666862,1.9700000286102293,0.600803723339478
HEALTH,Consumer Cyclical,eps_dcf,,0.3899999856948852,0.3937274233907813
HENG,Financial Services,eps_dcf,0.1437603929428255,1.0299999713897705,0.6075623789562842
HFT,Consumer Cyclical,eps_dcf,12.764966662070425,3.619999885559082,0.3937274233907813
HL,Healthcare,eps_dcf,1.9712106953523347,7.449999809265137,0.5150931379484303
HMPRO,Consumer Cyclical,eps_dcf,10.48041756196736,6.900000095367432,0.3937274233907813
HPT,Consumer Cyclical,eps_dcf,1.5223404685876576,0.3600000143051147,0.3937274233907813
HTC,Consumer Defensive,eps_dcf,42.510828914805565,14.699999809265137,0.4651378551621244
HTECH,Industrials,eps_dcf,7.280079755329792,2.4200000762939453,0.600803723339478
HUMAN,Technology,eps_dcf,3.387549454597657,5.599999904632568,0.5392162741363631
HYDRO,Industrials,eps_dcf,,4.539999961853027,0.600803723339478
HYDROGEN,Real Estate,eps_dcf,6.833957144208104,8.699999809265137,0.5901935294473374
I2,Technology,eps_dcf,3.5255935932336357,0.6700000166893005,0.5392162741363631
ICC,Consumer Cyclical,eps_dcf,86.96191561184877,24.5,0.3937274233907813
ICHI,Consumer Defensive,eps_dcf,19.79936029887803,12.5,0.4651378551621244
ICN,Communication Services,eps_dcf,2.731447465913691,1.9900000095367432,0.5968830860786962
IFS,Financial Services,eps_dcf,8.982754317753262,2.0799999237060547,0.6075623789562842
IHL,Consumer Cyclical,eps_dcf,0.6730428520131282,1.600000023841858,0.3937274233907813
IIG,Technology,eps_dcf,,1.4900000095367432,0.5392162741363631
III,Industrials,eps_dcf,21.811886478183386,4.579999923706055,0.600803723339478
ILINK,Technology,eps_dcf,35.93101727101305,4.760000228881836,0.5392162741363631
ILM,Consumer Cyclical,eps_dcf,24.745976588308395,14.800000190734863,0.3937274233907813
IMH,Healthcare,eps_dcf,,3.880000114440918,0.5150931379484303
IMPACT,Real Estate,eps_dcf,10.647329826836412,10.100000381469728,0.5901935294473374
IND,Industrials,eps_dcf,0.7793127760152012,1.0499999523162842,0.600803723339478
INET,Technology,eps_dcf,17.13269592219613,3.619999885559082,0.5392162741363631
INETREIT,Real Estate,eps_dcf,3.481597538501912,11.300000190734863,0.5901935294473374
INGRS,Consumer Cyclical,eps_dcf,0.1158342171622594,0.270000010728836,0.3937274233907813
INOX,Basic Materials,eps_dcf,0.8793643700537401,0.4000000059604645,0.5768668839251622
INSET,Technology,eps_dcf,4.7277654303964525,1.6299999952316284,0.5392162741363631
INSURE,Financial Services,eps_dcf,,77.0,0.6075623789562842
