symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
BTG,19.1,19.2,22.6,16.6,6.0,,1970-01-01,20403.0,yfinance.info/recommendations
BTNC,,,,,,,,,yfinance.info/recommendations
BTS,5.13167,5.25,6.49,3.5,6.0,2.42857,1970-01-01,20403.0,yfinance.info/recommendations
BTW,,,,,,,,,yfinance.info/recommendations
BUI,,,,,,,,,yfinance.info/recommendations
BVG,,,,,,,,,yfinance.info/recommendations
BWG,,,,,,,,,yfinance.info/recommendations
BYD,,,,,,,,,yfinance.info/recommendations
CAZ,,,,,,,,,yfinance.info/recommendations
CBG,58.75357,58.0,72.3,47.5,14.0,,1970-01-01,20403.0,yfinance.info/recommendations
CCET,7.55,7.55,7.9,7.2,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
CCP,,,,,,,,,yfinance.info/recommendations
CEN,,,,,,,,,yfinance.info/recommendations
CENTEL,37.01667,37.0,44.0,28.5,15.0,1.5,1970-01-01,20403.0,yfinance.info/recommendations
CEYE,,,,,,,,,yfinance.info/recommendations
CFARM,,,,,,,,,yfinance.info/recommendations
CFRESH,,,,,,,,,yfinance.info/recommendations
CGD,,,,,,,,,yfinance.info/recommendations
CGH,,,,,,,,,yfinance.info/recommendations
CH,,,,,,,,,yfinance.info/recommendations
CHAO,6.0,6.0,6.0,6.0,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
CHARAN,,,,,,,,,yfinance.info/recommendations
CHASE,,,,,,,,,yfinance.info/recommendations
CHAYO,2.75,2.75,4.0,1.5,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
CHEWA,,,,,,,,,yfinance.info/recommendations
CHG,2.196,2.19,3.1,1.7,10.0,1.4,1970-01-01,20403.0,yfinance.info/recommendations
CHIC,,,,,,,,,yfinance.info/recommendations
CHO,,,,,,,,,yfinance.info/recommendations
CHOTI,,,,,,,,,yfinance.info/recommendations
CHOW,,,,,,,,,yfinance.info/recommendations
CI,,,,,,,,,yfinance.info/recommendations
CIG,,,,,,,,,yfinance.info/recommendations
CIMBT,,,,,,,,,yfinance.info/recommendations
CITY,,,,,,,,,yfinance.info/recommendations
CIVIL,,,,,,,,,yfinance.info/recommendations
CK,20.52,20.1,27.5,18.0,10.0,1.09091,1970-01-01,20403.0,yfinance.info/recommendations
CKP,3.94667,3.7,5.0,3.68,6.0,1.0,1970-01-01,20403.0,yfinance.info/recommendations
CM,,,,,,,,,yfinance.info/recommendations
CMAN,,,,,,,,,yfinance.info/recommendations
CMC,,,,,,,,,yfinance.info/recommendations
CMO,,,,,,,,,yfinance.info/recommendations
CMR,,,,,,,,,yfinance.info/recommendations
CNT,,,,,,,,,yfinance.info/recommendations
COCOCO,8.1,8.1,9.2,7.0,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
COLOR,,,,,,,,,yfinance.info/recommendations
COM7,30.84375,31.25,34.0,27.0,8.0,1.33333,1970-01-01,20403.0,yfinance.info/recommendations
COMAN,,,,,,,,,yfinance.info/recommendations
CPALL,66.01857,65.0,80.0,55.5,21.0,1.13636,1970-01-01,20403.0,yfinance.info/recommendations
CPANEL,,,,,,,,,yfinance.info/recommendations
CPAXT,24.66412,25.0,32.0,19.0,17.0,,1970-01-01,20403.0,yfinance.info/recommendations
CPF,26.22308,25.0,38.0,21.3,13.0,2.41667,1970-01-01,20403.0,yfinance.info/recommendations
CPH,,,,,,,,,yfinance.info/recommendations
CPI,,,,,,,,,yfinance.info/recommendations
CPL,,,,,,,,,yfinance.info/recommendations
CPN,68.24316,69.0,83.0,55.0,19.0,1.31579,1970-01-01,20403.0,yfinance.info/recommendations
