symbol,period,eps
MMC,2025Q1,2.79
MMC,2024Q4,1.59
MMC,2024Q3,1.51
CHTR,2025Q4,
CHTR,2025Q3,
CHTR,2025Q2,9.18
CHTR,2025Q1,8.42
CHTR,2024Q4,10.1
CHTR,2024Q3,8.82
TGT,2025Q4,
TGT,2025Q3,2.05
TGT,2025Q2,2.27
TGT,2025Q1,2.41
TGT,2024Q4,1.85
TGT,2024Q3,2.57
FI,2025Q4,
FI,2025Q3,
FI,2025Q2,1.86
FI,2025Q1,1.51
FI,2024Q4,1.64
FI,2024Q3,0.98
CB,2025Q4,
CB,2025Q3,
CB,2025Q2,7.35
CB,2025Q1,3.29
CB,2024Q4,6.02
CB,2024Q3,5.7
CI,2025Q4,
CI,2025Q3,
CI,2025Q2,5.71
CI,2025Q1,4.85
CI,2024Q4,5.13
CI,2024Q3,2.63
ADP,2025Q4,
ADP,2025Q3,
ADP,2025Q2,2.23
ADP,2025Q1,3.06
ADP,2024Q4,2.35
ADP,2024Q3,2.34
PGR,2025Q4,
PGR,2025Q3,
PGR,2025Q2,5.4
PGR,2025Q1,4.37
PGR,2024Q4,
PGR,2024Q3,3.97
DUK,2025Q4,
DUK,2025Q3,
DUK,2025Q2,1.25
DUK,2025Q1,1.76
DUK,2024Q4,1.54
DUK,2024Q3,1.6
FDX,2025Q4,
FDX,2025Q3,3.46
FDX,2025Q2,6.88
FDX,2025Q1,3.756198
FDX,2024Q4,3.03
FDX,2024Q3,3.21
GM,2025Q4,
GM,2025Q3,
GM,2025Q2,1.91
GM,2025Q1,3.35
GM,2024Q4,
GM,2024Q3,2.68
PANW,2025Q4,
PANW,2025Q3,0.36
PANW,2025Q2,0.37
PANW,2025Q1,0.38
PANW,2024Q4,0.495
PANW,2024Q3,0.505
AON,2025Q4,
AON,2025Q3,
AON,2025Q2,2.66
AON,2025Q1,4.43
AON,2024Q4,3.28
AON,2024Q3,1.57
ZTS,2025Q4,
ZTS,2025Q3,
ZTS,2025Q2,1.61
ZTS,2025Q1,1.41
ZTS,2024Q4,1.29
ZTS,2024Q3,1.5
CMI,2025Q4,
CMI,2025Q3,
CMI,2025Q2,6.43
CMI,2025Q1,5.96
CMI,2024Q4,3.02
CMI,2024Q3,5.86
BK,2025Q4,
BK,2025Q3,
BK,2025Q2,1.93
BK,2025Q1,1.58
BK,2024Q4,1.54
BK,2024Q3,1.5
HCA,2025Q4,
HCA,2025Q3,
HCA,2025Q2,6.83
HCA,2025Q1,6.45
HCA,2024Q4,5.63
HCA,2024Q3,4.88
ITW,2025Q4,
ITW,2025Q3,
ITW,2025Q2,2.58
ITW,2025Q1,2.38
ITW,2024Q4,2.54
ITW,2024Q3,3.91
REGN,2025Q4,
REGN,2025Q3,
REGN,2025Q2,12.81
REGN,2025Q1,7.27
REGN,2024Q4,8.06
REGN,2024Q3,11.54
D,2025Q4,
D,2025Q3,
D,2025Q2,0.88
D,2025Q1,0.75
D,2024Q4,0.15
D,2024Q3,1.12
ECL,2025Q4,
ECL,2025Q3,
ECL,2025Q2,1.84
ECL,2025Q1,1.41
ECL,2024Q4,1.66
ECL,2024Q3,2.58
PSA,2025Q4,
PSA,2025Q3,
PSA,2025Q2,1.76
PSA,2025Q1,2.04
PSA,2024Q4,3.21
PSA,2024Q3,2.16
OXY,2025Q4,
OXY,2025Q3,
OXY,2025Q2,0.26
OXY,2025Q1,0.77
OXY,2024Q4,-0.32
OXY,2024Q3,0.98
SLB,2025Q4,
SLB,2025Q3,
SLB,2025Q2,0.74
SLB,2025Q1,0.58
SLB,2024Q4,0.77
SLB,2024Q3,0.83
MPC,2025Q4,
MPC,2025Q3,
MPC,2025Q2,3.96
MPC,2025Q1,-0.24
MPC,2024Q4,1.15
MPC,2024Q3,1.87
KMB,2025Q4,
KMB,2025Q3,
KMB,2025Q2,1.53
KMB,2025Q1,1.7
KMB,2024Q4,1.34
KMB,2024Q3,2.69
ETN,2025Q4,
ETN,2025Q3,
ETN,2025Q2,2.51
ETN,2025Q1,2.45
ETN,2024Q4,2.45
ETN,2024Q3,2.53
WFC,2025Q4,
WFC,2025Q3,
WFC,2025Q2,1.6
WFC,2025Q1,1.39
WFC,2024Q4,1.43
WFC,2024Q3,1.42
NEM,2025Q4,
NEM,2025Q3,
NEM,2025Q2,1.85
NEM,2025Q1,1.68
NEM,2024Q4,1.24
NEM,2024Q3,0.8
GOLD,2025Q4,
GOLD,2025Q3,
GOLD,2025Q2,
GOLD,2025Q1,
GOLD,2024Q4,
GOLD,2024Q3,
AEM,2025Q4,
AEM,2025Q3,
AEM,2025Q2,2.12
AEM,2025Q1,1.62
AEM,2024Q4,1.01
AEM,2024Q3,1.13
FNV,2025Q4,
FNV,2025Q3,
FNV,2025Q2,1.28
FNV,2025Q1,1.09
FNV,2024Q4,0.91
FNV,2024Q3,0.79
KGC,2025Q4,
KGC,2025Q3,
KGC,2025Q2,0.43
KGC,2025Q1,0.3
KGC,2024Q4,
KGC,2024Q3,0.29
WPM,2025Q4,
WPM,2025Q3,
WPM,2025Q2,0.643
WPM,2025Q1,0.559
WPM,2024Q4,
WPM,2024Q3,0.34
SSRM,2025Q4,
SSRM,2025Q3,
SSRM,2025Q2,0.42
SSRM,2025Q1,0.28
SSRM,2024Q4,
SSRM,2024Q3,0.05
RGLD,2025Q4,
RGLD,2025Q3,
RGLD,2025Q2,2.01
RGLD,2025Q1,1.72
RGLD,2024Q4,
RGLD,2024Q3,1.46
BTG,2025Q4,
BTG,2025Q3,
BTG,2025Q2,0.1
BTG,2025Q1,0.04
BTG,2024Q4,-0.01
BTG,2024Q3,-0.48
AU,2025Q4,
AU,2025Q3,
AU,2025Q2,1.32
AU,2025Q1,0.88
AU,2024Q4,1.03
AU,2024Q3,0.53
