symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
LOW,282.48486,285.0,325.0,228.0,33.0,1.88571,1970-01-01,20591.0,yfinance.info/recommendations
LPG,37.6,41.0,42.0,28.0,5.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
LPSN,4.0,4.0,5.0,3.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
LQDA,65.125,,70.0,59.0,8.0,1.14286,1970-01-01,20591.0,yfinance.info/recommendations
LRCX,310.46875,315.0,385.0,220.0,32.0,1.55556,1970-01-01,20591.0,yfinance.info/recommendations
LTC,41.0,40.0,45.0,38.0,7.0,2.875,1970-01-01,20591.0,yfinance.info/recommendations
LTH,40.64286,41.5,45.0,34.0,14.0,1.28571,1970-01-01,20591.0,yfinance.info/recommendations
LTM,70.31111,70.2,80.0,60.0,9.0,1.44444,1970-01-01,20591.0,yfinance.info/recommendations
LUCD,3.9,3.0,9.0,2.0,5.0,1.4,1970-01-01,20591.0,yfinance.info/recommendations
LUCK,9.94444,9.0,15.0,6.0,9.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
LULU,179.3636,175.0,295.0,145.0,25.0,2.87879,1970-01-01,20591.0,yfinance.info/recommendations
LUMN,8.29,8.2,10.0,7.0,10.0,3.18182,1970-01-01,20591.0,yfinance.info/recommendations
LUNG,5.16667,3.5,14.0,2.5,6.0,1.66667,1970-01-01,20591.0,yfinance.info/recommendations
LUNR,34.77778,41.0,50.0,11.0,9.0,1.55556,1970-01-01,20591.0,yfinance.info/recommendations
LUV,45.25217,45.0,60.0,30.0,23.0,2.52,1970-01-01,20591.0,yfinance.info/recommendations
LVS,69.56316,69.0,78.5,59.0,19.0,,1970-01-01,20591.0,yfinance.info/recommendations
LW,46.36364,45.0,65.0,40.0,11.0,2.45455,1970-01-01,20591.0,yfinance.info/recommendations
LWAY,34.5,34.5,35.0,34.0,2.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
LXU,15.0,15.0,18.0,11.0,5.0,2.2,1970-01-01,20591.0,yfinance.info/recommendations
LYFT,19.01556,17.5,30.0,14.0,36.0,2.52273,1970-01-01,20591.0,yfinance.info/recommendations
LYTS,30.5,30.5,31.0,30.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
LYV,184.78261,190.0,206.0,145.0,23.0,1.54167,1970-01-01,20591.0,yfinance.info/recommendations
MA,646.9722,662.5,735.0,550.0,36.0,1.33333,1970-01-01,20591.0,yfinance.info/recommendations
MAC,22.3125,22.5,27.0,19.0,16.0,2.25,1970-01-01,20591.0,yfinance.info/recommendations
MAGN,14.5,14.5,16.0,13.0,2.0,3.0,1970-01-01,20591.0,yfinance.info/recommendations
MAIN,59.83333,59.5,70.0,52.0,6.0,2.71429,1970-01-01,20591.0,yfinance.info/recommendations
MAMA,22.0,21.0,25.0,20.0,6.0,,1970-01-01,20591.0,yfinance.info/recommendations
MAMO,,,,,,,,,yfinance.info/recommendations
MAN,35.94444,34.0,45.0,30.0,9.0,,1970-01-01,20591.0,yfinance.info/recommendations
MAR,377.41666,385.5,446.0,272.0,24.0,2.23077,1970-01-01,20591.0,yfinance.info/recommendations
MARA,18.321,15.5,30.0,8.5,10.0,2.23077,1970-01-01,20591.0,yfinance.info/recommendations
MAS,80.66667,79.5,97.0,67.0,18.0,2.33333,1970-01-01,20591.0,yfinance.info/recommendations
MATW,38.0,38.0,40.0,36.0,2.0,1.5,1970-01-01,20591.0,yfinance.info/recommendations
MATX,224.0,225.0,230.0,217.0,3.0,1.33333,1970-01-01,20591.0,yfinance.info/recommendations
MBC,9.3,9.3,9.3,9.3,1.0,0.0,1970-01-01,20591.0,yfinance.info/recommendations
MBI,7.25,7.25,7.5,7.0,2.0,2.5,1970-01-01,20591.0,yfinance.info/recommendations
MBIN,51.66667,51.0,58.0,46.0,3.0,,1970-01-01,20591.0,yfinance.info/recommendations
MBIO,,,,,,,,,yfinance.info/recommendations
MBRX,21.0,22.0,31.0,10.0,3.0,1.33333,1970-01-01,20591.0,yfinance.info/recommendations
MBX,69.09091,70.0,91.0,20.0,11.0,1.5,1970-01-01,20591.0,yfinance.info/recommendations
MCB,104.66667,108.0,109.0,97.0,3.0,,1970-01-01,20591.0,yfinance.info/recommendations
MCD,331.21213,330.0,407.0,250.0,33.0,2.08333,1970-01-01,20591.0,yfinance.info/recommendations
MCHB,16.25,16.25,17.0,15.5,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MCHP,113.24,120.0,135.0,75.0,25.0,1.61538,1970-01-01,20591.0,yfinance.info/recommendations
MCHX,4.0,4.0,4.0,4.0,1.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
MCK,949.73334,945.0,1065.0,812.0,15.0,1.47059,1970-01-01,20591.0,yfinance.info/recommendations
MCO,536.5,532.5,610.0,489.0,20.0,1.78261,1970-01-01,20591.0,yfinance.info/recommendations
MCRB,22.0,22.0,22.0,22.0,1.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
MCS,23.75,24.0,25.0,22.0,4.0,1.2,1970-01-01,20591.0,yfinance.info/recommendations
MCW,7.05556,7.0,7.5,7.0,9.0,,1970-01-01,20591.0,yfinance.info/recommendations
MDAI,4.66667,5.0,6.0,3.0,3.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
MDB,350.57333,355.0,495.0,250.0,36.0,1.64103,1970-01-01,20591.0,yfinance.info/recommendations
MDLZ,67.2,67.0,75.0,55.0,25.0,1.88462,1970-01-01,20591.0,yfinance.info/recommendations
MDRR,,,,,,,,,yfinance.info/recommendations
MDT,108.0,110.0,121.0,90.0,25.0,1.9,1970-01-01,20591.0,yfinance.info/recommendations
MDU,23.28571,23.0,28.0,21.0,7.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
MDV,18.66667,19.0,19.0,18.0,6.0,2.66667,1970-01-01,20591.0,yfinance.info/recommendations
MEC,32.9,32.0,39.5,30.0,5.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
MED,12.0,12.0,12.0,12.0,1.0,3.0,1970-01-01,20591.0,yfinance.info/recommendations
MEI,9.25,9.25,10.0,8.5,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MELI,2236.28,2250.0,2800.0,1750.0,25.0,1.56,1970-01-01,20591.0,yfinance.info/recommendations
MEOH,72.0,72.0,80.0,65.0,9.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
MET,91.4375,92.5,106.0,75.0,16.0,1.88889,1970-01-01,20591.0,yfinance.info/recommendations
META,826.69104,825.0,1015.0,614.0,58.0,1.34921,1970-01-01,20591.0,yfinance.info/recommendations
MFIN,11.25,11.25,12.0,10.5,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MG,21.0,21.0,22.0,20.0,2.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
MGM,44.0,44.0,59.0,33.0,19.0,2.43478,1970-01-01,20591.0,yfinance.info/recommendations
MGRX,,,,,,,,,yfinance.info/recommendations
MGYR,,,,,,,,,yfinance.info/recommendations
MH,20.41667,19.0,27.0,17.0,12.0,1.38462,1970-01-01,20591.0,yfinance.info/recommendations
MHK,120.46667,117.0,146.0,96.0,15.0,2.4375,1970-01-01,20591.0,yfinance.info/recommendations
MIDD,195.25,195.0,206.0,185.0,8.0,1.7,1970-01-01,20591.0,yfinance.info/recommendations
MIND,10.0,10.0,10.0,10.0,1.0,,1970-01-01,20591.0,yfinance.info/recommendations
MIRM,146.72726,140.0,185.0,129.0,11.0,1.27273,1970-01-01,20591.0,yfinance.info/recommendations
MITK,18.5,18.5,20.0,17.0,4.0,1.2,1970-01-01,20591.0,yfinance.info/recommendations
MITT,9.4,9.25,10.25,8.5,5.0,,1970-01-01,20591.0,yfinance.info/recommendations
MKC,61.61538,64.0,77.0,51.0,13.0,2.13333,1970-01-01,20591.0,yfinance.info/recommendations
MKC-V,,,,,,,,,yfinance.info/recommendations
MKL,2005.4,1990.0,2107.0,1880.0,5.0,3.0,1970-01-01,20591.0,yfinance.info/recommendations
MKTX,188.09091,175.0,250.0,168.0,11.0,2.42857,1970-01-01,20591.0,yfinance.info/recommendations
MLI,149.5,149.5,150.0,149.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MLM,688.86365,705.5,800.0,440.0,22.0,1.85714,1970-01-01,20591.0,yfinance.info/recommendations
MLR,54.0,54.0,56.0,52.0,2.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
MLYS,48.5,51.5,56.0,30.0,8.0,1.2,1970-01-01,20591.0,yfinance.info/recommendations
MMI,28.0,28.0,28.0,28.0,1.0,4.0,1970-01-01,20591.0,yfinance.info/recommendations
MMM,173.43471,171.0,230.0,120.0,17.0,2.11111,1970-01-01,20591.0,yfinance.info/recommendations
MMS,105.0,105.0,125.0,85.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MNKD,7.46875,7.0,10.0,4.75,8.0,1.25,1970-01-01,20591.0,yfinance.info/recommendations
MNOV,9.0,9.5,11.0,6.0,4.0,1.25,1970-01-01,20591.0,yfinance.info/recommendations
MNSB,27.5,27.5,27.5,27.5,1.0,,1970-01-01,20591.0,yfinance.info/recommendations
MNST,88.24522,90.0,102.0,64.0,23.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
MO,69.45455,71.0,82.0,50.0,11.0,2.61538,1970-01-01,20591.0,yfinance.info/recommendations
MOD,265.57144,263.0,310.0,250.0,7.0,,1970-01-01,20591.0,yfinance.info/recommendations
MOG-A,328.25,347.0,350.0,269.0,4.0,,1970-01-01,20591.0,yfinance.info/recommendations
MOH,182.875,174.5,262.0,129.0,16.0,2.66667,1970-01-01,20591.0,yfinance.info/recommendations
MOS,27.55556,27.5,35.0,19.0,18.0,2.63158,1970-01-01,20591.0,yfinance.info/recommendations
MOVE,,,,,,,,,yfinance.info/recommendations
MPC,258.77777,257.0,335.0,186.0,18.0,2.31579,1970-01-01,20591.0,yfinance.info/recommendations
MPWR,1797.1428,1812.5,2000.0,1500.0,14.0,1.375,1970-01-01,20591.0,yfinance.info/recommendations
MRAM,18.0,18.0,18.5,17.5,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MRBK,22.0,22.0,23.0,21.0,2.0,1.5,1970-01-01,20591.0,yfinance.info/recommendations
MRCY,100.25,102.5,120.0,68.0,8.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
MRK,,,,,,1.82759,1970-01-01,20591.0,yfinance.info/recommendations
MRKR,7.86667,8.0,10.0,5.6,3.0,,1970-01-01,20591.0,yfinance.info/recommendations
MRNA,43.36842,45.0,69.0,21.0,19.0,2.95652,1970-01-01,20591.0,yfinance.info/recommendations
MRTN,18.0,18.0,18.0,18.0,1.0,2.0,1970-01-01,20591.0,yfinance.info/recommendations
MRVI,5.7,6.0,6.0,5.0,5.0,1.88889,1970-01-01,20591.0,yfinance.info/recommendations
MRVL,139.36064,135.0,210.0,85.0,39.0,1.48837,1970-01-01,20591.0,yfinance.info/recommendations
MS,203.2857,205.0,230.0,165.0,21.0,2.32,1970-01-01,20591.0,yfinance.info/recommendations
MSA,205.7143,206.0,225.0,190.0,7.0,2.14286,1970-01-01,20591.0,yfinance.info/recommendations
MSCI,685.4375,700.0,730.0,550.0,16.0,1.64706,1970-01-01,20591.0,yfinance.info/recommendations
MSDL,15.60714,16.0,17.0,14.0,7.0,2.57143,1970-01-01,20591.0,yfinance.info/recommendations
MSEX,60.0,60.0,65.0,55.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MSFT,560.6302,557.5,870.0,400.0,54.0,1.30909,1970-01-01,20591.0,yfinance.info/recommendations
MSGS,385.16666,402.0,430.0,295.0,6.0,2.125,1970-01-01,20591.0,yfinance.info/recommendations
MSI,506.54544,509.0,530.0,470.0,11.0,1.64286,1970-01-01,20591.0,yfinance.info/recommendations
MSIF,15.41667,15.75,16.0,14.0,6.0,2.28571,1970-01-01,20591.0,yfinance.info/recommendations
MSPR,,,,,,,,,yfinance.info/recommendations
MSTR,380.42856,347.5,645.0,212.0,14.0,1.26667,1970-01-01,20591.0,yfinance.info/recommendations
MTB,233.52632,230.0,265.0,205.0,19.0,2.52381,1970-01-01,20591.0,yfinance.info/recommendations
MTCH,41.05882,40.0,51.0,35.0,17.0,2.4,1970-01-01,20591.0,yfinance.info/recommendations
MTEX,,,,,,,,,yfinance.info/recommendations
MTG,28.8,29.0,30.0,28.0,5.0,2.8,1970-01-01,20591.0,yfinance.info/recommendations
MTH,77.77778,80.0,90.0,58.0,9.0,2.1,1970-01-01,20591.0,yfinance.info/recommendations
MTR,,,,,,,,,yfinance.info/recommendations
MTSI,389.42856,382.5,450.0,345.0,14.0,1.6,1970-01-01,20591.0,yfinance.info/recommendations
MTVA,19.33333,20.0,30.0,8.0,3.0,,1970-01-01,20591.0,yfinance.info/recommendations
MTW,10.5,10.5,11.0,10.0,2.0,4.5,1970-01-01,20591.0,yfinance.info/recommendations
MTX,94.25,91.0,105.0,90.0,4.0,1.25,1970-01-01,20591.0,yfinance.info/recommendations
MTZ,472.6842,498.0,545.0,256.0,19.0,1.26316,1970-01-01,20591.0,yfinance.info/recommendations
MU,584.2439,550.0,1000.0,249.0,41.0,1.47727,1970-01-01,20591.0,yfinance.info/recommendations
MUSA,558.0,600.0,655.0,380.0,9.0,2.5,1970-01-01,20591.0,yfinance.info/recommendations
MUX,32.1,31.0,35.0,29.5,5.0,1.16667,1970-01-01,20591.0,yfinance.info/recommendations
MVBF,31.0,31.0,32.0,30.0,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
MX,,,,,,,1970-01-01,20591.0,yfinance.info/recommendations
MXL,49.45455,49.0,75.0,28.0,11.0,1.81818,1970-01-01,20591.0,yfinance.info/recommendations
MYPS,1.5,1.5,2.5,0.5,2.0,2.75,1970-01-01,20591.0,yfinance.info/recommendations
MYSE,,,,,,,,,yfinance.info/recommendations
MYSZ,3.0,3.0,3.0,3.0,1.0,,,,yfinance.info/recommendations
MZTI,159.4,160.0,204.0,125.0,5.0,2.2,1970-01-01,20591.0,yfinance.info/recommendations
NAII,,,,,,,,,yfinance.info/recommendations
NAT,6.0,6.0,7.5,4.5,2.0,,1970-01-01,20591.0,yfinance.info/recommendations
NATR,35.0,35.0,37.0,33.0,2.0,1.0,1970-01-01,20591.0,yfinance.info/recommendations
NAVI,9.4375,9.0,13.0,8.0,8.0,3.25,1970-01-01,20591.0,yfinance.info/recommendations
