symbol,sector,last_price,intrinsic_value,margin_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
BEM,Industrials,5.400000095367432,-5.183497581126578,-195.9906942515318,8.55455,8.2,10.5,7.3,11.0,1.09091,1970-01-01,yfinance.info/recommendations
BEYOND,Consumer Cyclical,8.550000190734863,5.518234181386485,-35.45925078029503,,,,,,,,yfinance.info/recommendations
BGC,Consumer Cyclical,5.699999809265137,12.525378779576904,119.74349471411155,,,,,,,,yfinance.info/recommendations
BGRIM,Utilities,12.199999809265137,9.471602677571742,-22.363911265157135,16.60714,15.7,28.0,12.0,14.0,2.42857,1970-01-01,yfinance.info/recommendations
BGT,Consumer Cyclical,0.3799999952316284,1.2410411263658399,226.5897741944352,,,,,,,,yfinance.info/recommendations
BH,Healthcare,170.0,112.7662862770367,-33.66689042527253,200.90909,204.0,240.0,143.0,22.0,1.59091,1970-01-01,yfinance.info/recommendations
BIG,Consumer Cyclical,0.2899999916553497,0.7828404807837175,169.94500114127032,,,,,,,,yfinance.info/recommendations
BIOTEC,Basic Materials,0.2800000011920929,0.3356214323668479,19.864796763552913,,,,,,,,yfinance.info/recommendations
BIS,Consumer Defensive,2.039999961853028,6.567645342522654,221.94340516344687,,,,,,,,yfinance.info/recommendations
BIZ,Healthcare,4.679999828338623,1.905416649815378,-59.285967527657114,,,,,,,,yfinance.info/recommendations
BJC,Industrials,15.0,8.074507730922587,-46.16994846051609,17.14,17.0,25.0,12.5,15.0,2.25,1970-01-01,yfinance.info/recommendations
BJCHI,Industrials,0.75,0.2071113770387939,-72.38514972816081,,,,,,,,yfinance.info/recommendations
BKA,Unknown,0.7699999809265137,0.08805518242610468,-88.56426173931186,,,,,,,,yfinance.info/recommendations
BKD,Unknown,1.059999942779541,1.0566621891132533,-0.3148824383457474,,,,,,,1970-01-01,yfinance.info/recommendations
BKGI,Healthcare,1.309999942779541,0.6012411607738126,-54.103726180467845,,,,,,,,yfinance.info/recommendations
BKIH,Financial Services,323.0,76.21267155671143,-76.40474564807695,,,,,,,,yfinance.info/recommendations
BLA,Financial Services,20.700000762939453,3.947961328373505,-80.9277237542822,29.1,29.1,29.1,29.1,1.0,,1970-01-01,yfinance.info/recommendations
BLAND,Real Estate,0.4399999976158142,0.4048861367047297,-7.980422977580134,,,,,,,,yfinance.info/recommendations
BLC,Consumer Defensive,3.920000076293945,1.2589604074724365,-67.88366369975466,,,,,,,,yfinance.info/recommendations
BLESS,Real Estate,0.25,0.07277149918603654,-70.89140032558538,,,,,,,,yfinance.info/recommendations
BLISS,Unknown,0.03091,0.0,-100.0,,,,,,,,yfinance.info/recommendations
BM,Industrials,0.9900000095367432,3.2863338539724407,231.95291134494386,,,,,,,,yfinance.info/recommendations
BOFFICE,Real Estate,5.550000190734863,7.815075769109437,40.81217118074837,5.3,5.3,5.3,5.3,1.0,,,yfinance.info/recommendations
BOL,Industrials,5.0,2.9007219311182224,-41.98556137763555,,,,,,,,yfinance.info/recommendations
BPP,Utilities,11.300000190734863,4.523305598172425,-59.97074759448952,11.5,11.5,11.5,11.5,1.0,,,yfinance.info/recommendations
BPS,Technology,0.4300000071525574,0.4086275289142336,-4.970343693678394,,,,,,,,yfinance.info/recommendations
BR,Consumer Defensive,1.649999976158142,3.511230254601461,112.8018366871135,,,,,,,,yfinance.info/recommendations
BRI,Real Estate,1.2899999618530271,3.687525951709486,185.85473339181502,,,,,,,,yfinance.info/recommendations
BROCK,Real Estate,1.23,0.03452541812919081,-97.19305543665115,,,,,,,,yfinance.info/recommendations
BRR,Consumer Defensive,3.740000009536743,15.154905270663722,305.2113698401004,,,,,,,,yfinance.info/recommendations
BSBM,Basic Materials,0.5899999737739563,0.4331549042466349,-26.583911271055864,,,,,,,,yfinance.info/recommendations
BSM,Industrials,0.3400000035762787,0.04776567661854061,-85.95127173055326,,,,,,,,yfinance.info/recommendations
BTC,Financial Services,0.1800000071525573,-0.4134302988470294,-329.683490232659,,,,,,,,yfinance.info/recommendations
BTG,Consumer Defensive,23.299999237060547,46.07713346325656,97.7559440858999,23.125,22.85,27.5,20.4,8.0,2.5,1970-01-01,yfinance.info/recommendations
BTNC,Consumer Cyclical,15.800000190734863,14.984224955316176,-5.1631343390556355,,,,,,,,yfinance.info/recommendations
BTS,Industrials,2.1600000858306885,2.896663904900034,34.10480508319242,3.75,3.8,5.4,2.5,6.0,,1970-01-01,yfinance.info/recommendations
BTW,Industrials,0.0900000035762786,-0.44068608030169215,-589.6511808782242,,,,,,,,yfinance.info/recommendations
BUI,Financial Services,10.899999618530272,31.737703664663098,191.17160344398738,,,,,,,,yfinance.info/recommendations
BVG,Technology,1.590000033378601,1.5824387868919223,-0.47555008351866723,,,,,,,,yfinance.info/recommendations
BWG,Industrials,0.2800000011920929,0.9512884497954178,239.74587348047552,,,,,,,,yfinance.info/recommendations
BYD,Financial Services,0.5099999904632568,-2.089423804885406,-509.69094979540773,,,,,,,,yfinance.info/recommendations
CAZ,Industrials,1.4299999475479126,1.2855146795306485,-10.103865266919748,,,,,,,,yfinance.info/recommendations
CBG,Consumer Defensive,37.25,50.6116713905358,35.87025876653905,47.48333,49.0,60.0,32.0,15.0,2.13333,1970-01-01,yfinance.info/recommendations
CCET,Technology,6.050000190734863,5.792224524512115,-4.260754679272793,6.4,6.5,6.8,5.9,3.0,,1970-01-01,yfinance.info/recommendations
CCP,Basic Materials,0.270000010728836,0.6659777613236875,146.65842031855928,,,,,,,,yfinance.info/recommendations
CEN,Basic Materials,0.7099999785423279,-1.4814914076522527,-308.66076794732334,,,,,,,,yfinance.info/recommendations
CENTEL,Consumer Cyclical,32.75,28.112048325671278,-14.161684501767091,39.87059,40.0,45.0,31.0,17.0,1.70588,1970-01-01,yfinance.info/recommendations
CEYE,Consumer Cyclical,1.2200000286102295,0.9276603169505241,-23.962270885577436,,,,,,,,yfinance.info/recommendations
CFARM,Consumer Defensive,0.7799999713897705,0.8571595026703501,9.892247962919804,,,,,,,,yfinance.info/recommendations
CFRESH,Consumer Defensive,0.8500000238418579,0.7274530140653872,-14.417294863425854,,,,,,,,yfinance.info/recommendations
CGD,Real Estate,0.1099999994039535,-0.14378285174343428,-230.71168411139698,,,,,,,,yfinance.info/recommendations
CGH,Financial Services,0.4600000083446502,-0.04933964945917062,-110.72601055741795,,,,,,,,yfinance.info/recommendations
CH,Consumer Defensive,1.590000033378601,-0.3439653306317626,-121.63303920823627,,,,,,,,yfinance.info/recommendations
CHAO,Consumer Defensive,4.320000171661377,3.631805862759315,-15.930423184159215,,,,,,,,yfinance.info/recommendations
CHARAN,Financial Services,17.4,0.8028151026596844,-95.38612009965698,,,,,,,,yfinance.info/recommendations
CHASE,Financial Services,0.4600000083446502,0.3803666230163748,-17.311605192104892,,,,,,,,yfinance.info/recommendations
CHAYO,Financial Services,1.0099999904632568,0.06185299454935267,-93.87594107590213,2.22667,1.58,4.0,1.1,3.0,,1970-01-01,yfinance.info/recommendations
CHEWA,Real Estate,0.1700000017881393,-1.612628353675566,-1048.6049039489346,,,,,,,,yfinance.info/recommendations
CHG,Healthcare,1.409999966621399,2.2069576186419813,56.52182063026776,1.79889,1.87,2.02,1.3,9.0,1.88889,1970-01-01,yfinance.info/recommendations
CHIC,Consumer Cyclical,0.270000010728836,-0.0034788510828520254,-101.28846331282033,,,,,,,,yfinance.info/recommendations
CHO,Industrials,0.06,-6.293930236155434,-10589.883726925724,,,,,,,,yfinance.info/recommendations
CHOTI,Consumer Defensive,64.25,-442.9233652674006,-789.3748875757208,,,,,,,,yfinance.info/recommendations
CHOW,Basic Materials,1.2699999809265137,1.4359504064509054,13.066962835961979,,,,,,,,yfinance.info/recommendations
CI,Real Estate,0.3199999928474426,-1.928281169620692,-702.5878789753549,,,,,,,,yfinance.info/recommendations
CIG,Industrials,0.0199999995529651,-0.11753315654536796,-687.6657958621958,,,,,,,,yfinance.info/recommendations
CIMBT,Financial Services,0.37,0.6802618552224804,83.85455546553524,,,,,,,,yfinance.info/recommendations
CITY,Industrials,1.2000000476837158,0.0,-100.0,,,,,,,,yfinance.info/recommendations
CIVIL,Industrials,0.800000011920929,-2.6400511407890552,-430.0063876811535,,,,,,,,yfinance.info/recommendations
CK,Industrials,17.0,16.218243494267643,-4.5985676807785705,21.11,20.7,23.7,18.5,10.0,,1970-01-01,yfinance.info/recommendations
CKP,Utilities,2.299999952316284,2.588208934374606,12.530825566673261,3.62286,3.7,5.0,2.0,7.0,,1970-01-01,yfinance.info/recommendations
CM,Consumer Defensive,1.6100000143051147,0.4499312264900268,-72.05396133588113,,,,,,,,yfinance.info/recommendations
CMAN,Basic Materials,2.559999942779541,3.693689103419251,44.2847338273296,,,,,,,,yfinance.info/recommendations
CMC,Real Estate,0.3499999940395355,0.15522481538137908,-55.65005199290229,,,,,,,,yfinance.info/recommendations
CMO,Communication Services,0.75,1.6293214348075213,117.24285797433618,,,,,,,,yfinance.info/recommendations
CMR,Healthcare,1.2899999618530271,3.438748509178211,166.56965975709045,,,,,,,,yfinance.info/recommendations
CNT,Industrials,1.0299999713897705,1.820336488823827,76.73170285312356,,,,,,,,yfinance.info/recommendations
COCOCO,Consumer Defensive,5.599999904632568,2.4369658974021995,-56.482751091009256,7.43333,6.9,9.2,6.2,3.0,,1970-01-01,yfinance.info/recommendations
COLOR,Basic Materials,1.0199999809265137,1.7352116880989217,70.11879613201049,,,,,,,,yfinance.info/recommendations
COM7,Consumer Cyclical,22.799999237060547,16.578577243882567,-27.28693947965266,30.44444,30.5,34.0,26.0,9.0,1.11111,1970-01-01,yfinance.info/recommendations
COMAN,Technology,0.6200000047683716,-3.353055074551932,-640.8153304457818,,,,,,,,yfinance.info/recommendations
CPALL,Consumer Defensive,45.75,19.575766366051745,-57.211439637045366,62.40333,61.0,80.0,54.0,21.0,1.13636,1970-01-01,yfinance.info/recommendations
CPANEL,Basic Materials,1.5800000429153442,-2.583779812533257,-263.5303634401037,,,,,,,,yfinance.info/recommendations
CPAXT,Consumer Defensive,15.100000381469728,19.296711326841894,27.792787015570177,16.78824,17.0,21.0,13.0,17.0,2.82353,1970-01-01,yfinance.info/recommendations
CPF,Consumer Defensive,19.600000381469727,56.907709356005185,190.3454502470673,22.27143,22.1,25.0,19.0,14.0,2.35714,1970-01-01,yfinance.info/recommendations
CPH,Consumer Cyclical,8.350000381469727,29.99239242962763,259.1903120889261,,,,,,,,yfinance.info/recommendations
CPI,Consumer Defensive,3.400000095367432,5.9092519003218325,73.80152160505247,,,,,,,,yfinance.info/recommendations
CPL,Consumer Cyclical,0.7699999809265137,0.2075531194239604,-73.04504875776502,,,,,,,,yfinance.info/recommendations
CPN,Real Estate,64.0,44.00299880571824,-31.245314366065248,71.70632,72.75,83.0,54.0,19.0,,1970-01-01,yfinance.info/recommendations
CPNREIT,Real Estate,12.199999809265137,10.928855169437597,-10.419218522136246,11.975,12.4,12.5,10.6,4.0,2.25,1970-01-01,yfinance.info/recommendations
CPR,Consumer Cyclical,2.799999952316284,3.5768079692351407,27.743143933850657,,,,,,,,yfinance.info/recommendations
CPT,Industrials,1.190000057220459,1.8890680516152178,58.745206788275794,,,,,,,,yfinance.info/recommendations
CPW,Technology,2.0999999046325684,4.334720839925606,106.41528746564592,,,,,,,,yfinance.info/recommendations
CRANE,Industrials,0.4300000071525574,-0.549640916881704,-227.82346691605983,,,,,,,,yfinance.info/recommendations
CRC,Consumer Cyclical,19.0,38.66871181406249,103.5195358634868,21.895,22.0,27.0,18.2,20.0,2.15,1970-01-01,yfinance.info/recommendations
CRD,Industrials,0.3199999928474426,1.3445581497989476,320.17443120380153,,,,,,,,yfinance.info/recommendations
CREDIT,Financial Services,18.399999618530277,25.967203096285967,41.12610670999639,28.0,28.0,29.0,27.0,2.0,,1970-01-01,yfinance.info/recommendations
CSC,Consumer Cyclical,42.5,150.32003218038165,253.6941933656039,,,,,,,,yfinance.info/recommendations
CSP,Basic Materials,0.5,-0.35919367703221516,-171.83873540644302,,,,,,,,yfinance.info/recommendations
CSR,Consumer Cyclical,70.0,28.13541425058674,-59.80655107059037,,,,,,,,yfinance.info/recommendations
CSS,Technology,0.7799999713897705,1.7199126168359555,120.50162563102265,,,,,,,,yfinance.info/recommendations
CTW,Industrials,4.179999828338623,-2.6931905789500137,-164.4303992715819,,,,,,,,yfinance.info/recommendations
CV,Utilities,0.03,0.0,-100.0,,,,,,,,yfinance.info/recommendations
CWT,Consumer Cyclical,0.7900000214576721,2.8916047605297712,266.02590911254833,,,,,,,,yfinance.info/recommendations
D,Healthcare,2.8399999141693115,2.58619945239705,-8.936636247980202,3.36,3.36,3.36,3.36,1.0,,1970-01-01,yfinance.info/recommendations
DCC,Industrials,1.25,2.26965474823778,81.57237985902238,1.56,1.56,1.56,1.56,1.0,,1970-01-01,yfinance.info/recommendations
DCON,Basic Materials,0.209999993443489,-0.038890166273583666,-118.51912737513919,,,,,,,,yfinance.info/recommendations
DDD,Consumer Defensive,5.25,6.607681606538934,25.86060202931303,,,,,,,,yfinance.info/recommendations
DELTA,Industrials,301.0,19.702698296202627,-93.45425305773999,250.55882,250.0,350.0,162.0,17.0,2.64706,1970-01-01,yfinance.info/recommendations
DEMCO,Industrials,2.200000047683716,0.8299997365722521,-62.272740064432156,,,,,,,,yfinance.info/recommendations
DEXON,Energy,1.03,1.0791130571953675,4.768257980132768,,,,,,,,yfinance.info/recommendations
DHOUSE,Real Estate,0.4000000059604645,-0.2951705483978856,-173.79263599987544,,,,,,,,yfinance.info/recommendations
DIMET,Basic Materials,0.0599999986588954,0.0,-100.0,,,,,,,,yfinance.info/recommendations
DITTO,Technology,10.600000381469728,6.874810073931657,-35.14330352336798,,,,,,,1970-01-01,yfinance.info/recommendations
DMT,Industrials,11.0,14.76481764533187,34.22561495756246,,,,,,,,yfinance.info/recommendations
DOD,Consumer Defensive,1.7200000286102295,2.7818906300340194,61.737824637235846,,,,,,,,yfinance.info/recommendations
DOHOME,Consumer Cyclical,3.440000057220459,0.6150071707635532,-82.12188486820892,3.82604,3.65385,5.28846,3.07692,13.0,3.23077,1970-01-01,yfinance.info/recommendations
DPAINT,Basic Materials,0.6899999976158142,0.022387151430600927,-96.755485288702,,,,,,,,yfinance.info/recommendations
DREIT,Real Estate,4.760000228881836,0.007937424606628139,-99.83324739023189,6.2,6.2,6.2,6.2,1.0,,,yfinance.info/recommendations
DRT,Industrials,4.639999866485596,9.94935020301226,114.42565709701292,,,,,,,,yfinance.info/recommendations
DTCENT,Technology,0.8799999952316284,1.456949408536417,65.56243368534648,,,,,,,,yfinance.info/recommendations
DTCI,Industrials,17.5,12.563617524581527,-28.20789985953413,,,,,,,,yfinance.info/recommendations
DUSIT,Consumer Cyclical,10.100000381469728,-23.548366955809154,-333.15213927132993,,,,,,,1970-01-01,yfinance.info/recommendations
DV8,Communication Services,4.880000114440918,0.34561717210448684,-92.91768106558574,,,,,,,,yfinance.info/recommendations
EA,Utilities,2.740000009536743,-0.4829181570503993,-117.62475019596978,,,,,,,,yfinance.info/recommendations
EASON,Basic Materials,1.159999966621399,1.9448387375769673,67.65851668439954,,,,,,,,yfinance.info/recommendations
EAST,Financial Services,0.6100000143051147,-2.6287697540326036,-530.9458512107058,,,,,,,,yfinance.info/recommendations
EASTW,Utilities,2.859999895095825,-2.090653400565256,-173.0997719318171,,,,,,,,yfinance.info/recommendations
